Date,Ticker,Drop threshold (%),Holding period,Daily_Return,Return_5_Day_Later,Trade return,Trade return after costs,Cumulative return,Running peak,Drawdown
,,,,,,,,,,
2010-01-22,SPY,-2.0,5,-0.02229164616972157,-0.016665579254688145,-0.016665579254688145,-0.017665579254688146,-0.017665579254688146,-0.017665579254688146,0.0
2010-02-04,SPY,-2.0,5,-0.030865822975210788,0.015877226564158242,0.015877226564158242,0.014877226564158241,-0.0030511675154888396,-0.0030511675154888396,0.0
2010-04-27,SPY,-2.0,5,-0.02365028578945816,-0.0081028617290676,-0.0081028617290676,-0.009102861729067602,-0.01212625488855068,-0.0030511675154888396,-0.009102861729067602
2010-05-04,SPY,-2.0,5,-0.023514595711156105,-0.014380138254333263,-0.014380138254333263,-0.015380138254333264,-0.0273198896661907,-0.0030511675154888396,-0.024342996711497644
2010-05-06,SPY,-2.0,5,-0.033213555730225774,0.027005328841459786,0.027005328841459786,0.026005328841459785,-0.002025023539412474,-0.002025023539412474,0.0
2010-05-20,SPY,-2.0,5,-0.037759429426751256,0.029942683834061734,0.029942683834061734,0.028942683834061733,0.02685905067859129,0.02685905067859129,0.0
2010-06-04,SPY,-2.0,5,-0.03513690873921693,0.026773780979638673,0.026773780979638673,0.025773780979638672,0.05332509094774118,0.05332509094774118,0.0
2010-06-29,SPY,-2.0,5,-0.030875091240342822,0.018232604558753973,0.018232604558753973,0.017232604558753972,0.07147662571185731,0.07147662571185731,0.0
2010-07-16,SPY,-2.0,5,-0.027534433053884033,0.03515818823937367,0.03515818823937367,0.034158188239373666,0.10807632598701167,0.10807632598701167,0.0
2010-08-11,SPY,-2.0,5,-0.027407305687480066,0.004483365814504925,0.004483365814504925,0.003483365814504925,0.11193616118081717,0.11193616118081717,0.0
2011-02-22,SPY,-2.0,5,-0.020070013529609354,-0.006827301814881892,-0.006827301814881892,-0.007827301814881893,0.1032327012483738,0.11193616118081717,-0.007827301814881893
2011-06-01,SPY,-2.0,5,-0.022460717664918306,-0.026162456423473812,-0.026162456423473812,-0.027162456423473813,0.07326619107576349,0.11193616118081717,-0.034777149493895654
2011-07-27,SPY,-2.0,5,-0.020475442536786237,-0.033920577888619796,-0.033920577888619796,-0.0349205778886198,0.035787115455079954,0.11193616118081717,-0.06848328922486968
2011-08-02,SPY,-2.0,5,-0.025547223139489872,-0.06383022849551423,-0.06383022849551423,-0.06483022849551423,-0.03136319991258241,0.11193616118081717,-0.12887373043181116
2011-08-04,SPY,-2.0,5,-0.04684139908757079,-0.024363725241343004,-0.024363725241343004,-0.025363725241343005,-0.055931437568653375,0.11193616118081717,-0.15096873778365483
2011-08-08,SPY,-2.0,5,-0.06512349067118295,0.07447029350251011,0.07447029350251011,0.07347029350251011,0.013429556799670506,0.11193616118081717,-0.08859016175581325
2011-08-10,SPY,-2.0,5,-0.04417756901400205,0.06572291589353862,0.06572291589353862,0.06472291589353862,0.07902167276844163,0.11193616118081717,-0.029601059450591216
2011-08-18,SPY,-2.0,5,-0.04311848906075466,0.015456716120119562,0.015456716120119562,0.014456716120119562,0.09462078277911168,0.11193616118081717,-0.015572277443803517
2011-09-02,SPY,-2.0,5,-0.025549617054718032,-0.010012971270603743,-0.010012971270603743,-0.011012971270603744,0.08256575554615964,0.11193616118081717,-0.02641375167030069
2011-09-09,SPY,-2.0,5,-0.02620975295874639,0.053732868867932826,0.053732868867932826,0.052732868867932825,0.13965255357429007,0.13965255357429007,0.0
2011-09-21,SPY,-2.0,5,-0.029458182371110087,-0.012775806615884733,-0.012775806615884733,-0.013775806615884734,0.12395292038695138,0.13965255357429007,-0.013775806615884734
2011-09-22,SPY,-2.0,5,-0.03232462604553632,0.02826542588719705,0.02826542588719705,0.027265425887197048,0.15459797543846032,0.15459797543846032,0.0
2011-09-28,SPY,-2.0,5,-0.020418753482346785,-0.006253336606283022,-0.006253336606283022,-0.007253336606283022,0.14622328767767234,0.15459797543846032,-0.007253336606282912
2011-09-30,SPY,-2.0,5,-0.024989378913611637,0.02262488214751568,0.02262488214751568,0.02162488214751568,0.17101023118843983,0.17101023118843983,0.0
2011-10-03,SPY,-2.0,5,-0.028458137967867225,0.0877833931357268,0.0877833931357268,0.0867833931357268,0.2726344724476244,0.2726344724476244,0.0
2011-10-31,SPY,-2.0,5,-0.02410558295746168,0.006055720598387548,0.006055720598387548,0.005055720598387548,0.2790685567641962,0.2790685567641962,0.0
2011-11-01,SPY,-2.0,5,-0.027888646996388933,0.0481965987181443,0.0481965987181443,0.0471965987181443,0.33943624217079216,0.33943624217079216,0.0
2011-11-09,SPY,-2.0,5,-0.0369093244584755,0.0074697027773713565,0.0074697027773713565,0.0064697027773713564,0.34810199654687657,0.34810199654687657,0.0
2011-11-23,SPY,-2.0,5,-0.02206587476243449,0.07215132628477483,0.07215132628477483,0.07115132628477483,0.44402124156833955,0.44402124156833955,0.0
2011-12-08,SPY,-2.0,5,-0.02193653252113892,-0.014279953323678707,-0.014279953323678707,-0.015279953323678708,0.42195666439877466,0.44402124156833955,-0.015279953323678819
2012-06-01,SPY,-2.0,5,-0.02517688190763101,0.03854562099481229,0.03854562099481229,0.03754562099481229,0.4753449103913383,0.4753449103913383,0.0
2012-06-21,SPY,-2.0,5,-0.022438634173714722,0.0026429315461928837,0.0026429315461928837,0.0016429315461928837,0.4777688010861356,0.4777688010861356,0.0
2012-11-07,SPY,-2.0,5,-0.022663932673269493,-0.027125496232514146,-0.027125496232514146,-0.028125496232514147,0.4362058202386605,0.4777688010861356,-0.028125496232514147
2013-04-15,SPY,-2.0,5,-0.023173458653309775,0.006768281945279675,0.006768281945279675,0.005768281945279675,0.44449026034124883,0.4777688010861356,-0.02251945007935452
2013-06-20,SPY,-2.0,5,-0.024779229400127556,0.015887170916874416,0.015887170916874416,0.014887170916874415,0.4659946337347092,0.4777688010861356,-0.007967530064765582
2014-01-24,SPY,-2.0,5,-0.02133639113828667,-0.003968896518745657,-0.003968896518745657,-0.004968896518745657,0.458710258102645,0.4777688010861356,-0.01289683675110942
2014-02-03,SPY,-2.0,5,-0.022505195197798034,0.033530440823093643,0.033530440823093643,0.03253044082309364,0.5061627458318925,0.5061627458318925,0.0
2014-04-10,SPY,-2.0,5,-0.021005880479919692,0.01763513694053409,0.01763513694053409,0.01663513694053409,0.5312179693635366,0.5312179693635366,0.0
2015-06-29,SPY,-2.0,5,-0.020970288645668633,0.012656881287145483,0.012656881287145483,0.011656881287145482,0.5490671954571511,0.5490671954571511,0.0
2015-08-20,SPY,-2.0,5,-0.020881528459181564,-0.023042544354291317,-0.023042544354291317,-0.024042544354291318,0.5118236787025949,0.5490671954571511,-0.024042544354291318
2015-08-21,SPY,-2.0,5,-0.030102388876381836,0.007329655291850257,0.007329655291850257,0.006329655291850257,0.5213930014508394,0.5490671954571511,-0.01786507008054261
2015-08-24,SPY,-2.0,5,-0.04210687092390897,0.04311350330642738,0.04311350330642738,0.04211350330642738,0.5854641906478146,0.5854641906478146,0.0
2015-09-01,SPY,-2.0,5,-0.02984778486151829,0.01574803600483632,0.01574803600483632,0.014748036004836318,0.6088466736158675,0.6088466736158675,0.0
2015-09-28,SPY,-2.0,5,-0.025097308812305652,0.05563555686398325,0.05563555686398325,0.05463555686398325,0.6967469075376373,0.6967469075376373,0.0
2016-01-07,SPY,-2.0,5,-0.02399157828655929,-0.010924980636842663,-0.010924980636842663,-0.011924980636842664,0.6765132335196284,0.6967469075376373,-0.011924980636842664
2016-01-13,SPY,-2.0,5,-0.024940646325371296,-0.011332809737426897,-0.011332809737426897,-0.012332809737426897,0.6558371147883526,0.6967469075376373,-0.024110721856952733
2016-01-15,SPY,-2.0,5,-0.02146646522562956,-0.0009051112476359258,-0.0009051112476359258,-0.0019051112476359258,0.6526825608767164,0.6967469075376373,-0.025969899497190307
2016-06-24,SPY,-2.0,5,-0.03590937317625209,0.03286780235143483,0.03286780235143483,0.031867802351434826,0.7053499220763986,0.7053499220763986,0.0
2016-09-09,SPY,-2.0,5,-0.023935088783591074,0.005475702436580576,0.005475702436580576,0.004475702436580576,0.7129825608778586,0.7129825608778586,0.0
