Period,Transaction cost (%),Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2015-2019,0.0,SPY,-3.0,3,9,0.58,0.14,0.43,44.44,5.16,-2.39,3.39,-1.67,0.261
2015-2019,0.0,SPY,-3.0,5,9,1.93,0.24,1.69,88.89,5.98,-1.77,2.39,-1.77,0.952
2015-2019,0.1,SPY,-3.0,1,9,-0.42,0.05,-0.47,44.44,1.87,-4.31,1.57,-2.01,-0.232
2015-2019,0.1,SPY,-3.0,3,9,0.48,0.14,0.33,44.44,5.06,-2.49,3.29,-1.77,0.189
2015-2019,0.1,SPY,-3.0,5,9,1.83,0.24,1.59,88.89,5.88,-1.87,2.29,-1.87,0.848
2015-2019,0.25,SPY,-3.0,1,9,-0.57,0.05,-0.62,44.44,1.72,-4.46,1.42,-2.16,-0.285
2015-2019,0.25,SPY,-3.0,3,9,0.33,0.14,0.18,44.44,4.91,-2.64,3.14,-1.92,0.096
2015-2019,0.25,SPY,-3.0,5,9,1.68,0.24,1.44,88.89,5.73,-2.02,2.14,-2.02,0.711
2015-2019,0.5,SPY,-3.0,1,9,-0.82,0.05,-0.87,44.44,1.47,-4.71,1.17,-2.41,-0.36
2015-2019,0.5,SPY,-3.0,3,9,0.08,0.14,-0.07,44.44,4.66,-2.89,2.89,-2.17,-0.03
2015-2019,0.5,SPY,-3.0,5,9,1.43,0.24,1.19,88.89,5.48,-2.27,1.89,-2.27,0.522
2015-2019,0.0,QQQ,-1.0,1,148,0.14,0.07,0.08,55.41,6.24,-4.37,1.2,-1.17,0.066
2015-2019,0.0,QQQ,-1.0,3,148,0.47,0.2,0.27,55.41,7.29,-8.4,2.14,-1.61,0.165
2015-2019,0.0,QQQ,-1.0,5,148,0.84,0.34,0.5,66.22,7.98,-8.59,2.36,-2.15,0.232
2015-2019,0.1,QQQ,-1.0,1,148,0.04,0.07,-0.02,51.35,6.14,-4.47,1.19,-1.16,-0.02
2015-2019,0.1,QQQ,-1.0,3,148,0.37,0.2,0.17,53.38,7.19,-8.5,2.12,-1.64,0.101
2015-2019,0.1,QQQ,-1.0,5,148,0.74,0.34,0.4,64.86,7.88,-8.69,2.31,-2.16,0.184
2015-2019,0.25,QQQ,-1.0,1,148,-0.11,0.07,-0.17,47.97,5.99,-4.62,1.12,-1.23,-0.14
2015-2019,0.25,QQQ,-1.0,3,148,0.22,0.2,0.02,52.7,7.04,-8.65,2.0,-1.76,0.009
2015-2019,0.25,QQQ,-1.0,5,148,0.59,0.34,0.25,61.49,7.73,-8.84,2.28,-2.12,0.117
2015-2019,0.5,QQQ,-1.0,1,148,-0.36,0.07,-0.42,39.86,5.74,-4.87,1.07,-1.3,-0.325
2015-2019,0.5,QQQ,-1.0,3,148,-0.03,0.2,-0.23,47.97,6.79,-8.9,1.94,-1.84,-0.127
2015-2019,0.5,QQQ,-1.0,5,148,0.34,0.34,-0.0,58.78,7.48,-9.09,2.13,-2.22,-0.001
2015-2019,0.0,QQQ,-1.5,1,88,0.23,0.07,0.16,55.68,6.24,-4.37,1.34,-1.16,0.142
2015-2019,0.0,QQQ,-1.5,3,88,0.65,0.2,0.44,57.95,7.29,-8.4,2.47,-1.86,0.238
2015-2019,0.0,QQQ,-1.5,5,88,0.98,0.34,0.64,62.5,7.98,-8.59,2.82,-2.08,0.309
2015-2019,0.1,QQQ,-1.5,1,88,0.13,0.07,0.06,52.27,6.14,-4.47,1.33,-1.18,0.055
2015-2019,0.1,QQQ,-1.5,3,88,0.55,0.2,0.34,55.68,7.19,-8.5,2.47,-1.86,0.184
2015-2019,0.1,QQQ,-1.5,5,88,0.88,0.34,0.54,62.5,7.88,-8.69,2.72,-2.18,0.249
2015-2019,0.25,QQQ,-1.5,1,88,-0.02,0.07,-0.09,47.73,5.99,-4.62,1.3,-1.22,-0.07
2015-2019,0.25,QQQ,-1.5,3,88,0.4,0.2,0.19,55.68,7.04,-8.65,2.32,-2.01,0.096
2015-2019,0.25,QQQ,-1.5,5,88,0.73,0.34,0.39,60.23,7.73,-8.84,2.67,-2.21,0.178
2015-2019,0.5,QQQ,-1.5,1,88,-0.27,0.07,-0.34,42.05,5.74,-4.87,1.2,-1.33,-0.251
2015-2019,0.5,QQQ,-1.5,3,88,0.15,0.2,-0.06,53.41,6.79,-8.9,2.16,-2.16,-0.026
2015-2019,0.5,QQQ,-1.5,5,88,0.48,0.34,0.14,56.82,7.48,-9.09,2.57,-2.27,0.063
2015-2019,0.0,QQQ,-2.0,1,54,0.29,0.07,0.23,55.56,6.24,-4.37,1.56,-1.29,0.176
2015-2019,0.0,QQQ,-2.0,3,54,0.73,0.2,0.52,62.96,7.29,-8.4,2.61,-2.48,0.211
2015-2019,0.0,QQQ,-2.0,5,54,1.04,0.34,0.7,62.96,7.98,-8.59,2.92,-2.15,0.324
2015-2019,0.1,QQQ,-2.0,1,54,0.19,0.07,0.13,53.7,6.14,-4.47,1.52,-1.34,0.095
2015-2019,0.1,QQQ,-2.0,3,54,0.63,0.2,0.42,59.26,7.19,-8.5,2.67,-2.35,0.18
2015-2019,0.1,QQQ,-2.0,5,54,0.94,0.34,0.6,62.96,7.88,-8.69,2.82,-2.25,0.266
