Model,Accuracy,Precision,Recall,F1 score,ROC AUC,True Negatives,False Positives,False Negatives,True Positives,Accuracy vs Baseline,Precision vs Baseline,Recall vs Baseline,F1 score vs Baseline,ROC AUC vs Baseline
Majority Class Baseline,0.5566236811254396,0.5566236811254396,1.0,0.7151679469799669,0.5,0,5673,0,7122,0.0,0.0,0.0,0.0,0.0
Logistic Regression,0.5513091051191872,0.5581865677930395,0.9300758213984835,0.6976670704091843,0.4976250835764953,430,5243,498,6624,-0.005314576006252403,0.0015628866675999609,-0.06992417860151645,-0.017500876570782586,-0.0023749164235046805
Decision Tree,0.5207502930832356,0.5627694648744611,0.6231395675372087,0.5914179104477612,0.5076741377259462,2225,3448,2684,4438,-0.03587338804220397,0.006145783749021527,-0.37686043246279133,-0.12375003653220573,0.007674137725946162
Random Forest,0.5265338022665104,0.5549813972715998,0.7540016849199663,0.6393618287891416,0.492560745206074,1367,4306,1752,5370,-0.03008987885892922,-0.0016422838538397988,-0.24599831508003367,-0.07580611819082528,-0.007439254793925987
