Date,Ticker,Drop threshold (%),Holding period,Daily_Return,Return_5_Day_Later,Trade return,Trade return after costs,Cumulative return,Running peak,Drawdown
2010-01-22,SPY,-2.0,5,-0.02229210377593771,-0.016664931799111327,-0.016664931799111327,-0.017664931799111327,-0.017664931799111327,-0.017664931799111327,0.0
2010-02-04,SPY,-2.0,5,-0.03086609359478998,0.01587761074017857,0.01587761074017857,0.01487761074017857,-0.0030501330379916203,-0.0030501330379916203,0.0
2010-04-27,SPY,-2.0,5,-0.02365087108978614,-0.008102694046521197,-0.008102694046521197,-0.009102694046521198,-0.012125062656666796,-0.0030501330379916203,-0.009102694046521198
2010-05-04,SPY,-2.0,5,-0.023515181907790894,-0.014379796709194315,-0.014379796709194315,-0.015379796709194316,-0.02731837836711537,-0.0030501330379916203,-0.02434249317177406
2010-05-06,SPY,-2.0,5,-0.03321330874973283,0.027005514000628894,0.027005514000628894,0.026005514000628893,-0.002023292837587065,-0.002023292837587065,0.0
2010-05-20,SPY,-2.0,5,-0.03775941910744285,0.029942201971311144,0.029942201971311144,0.028942201971311143,0.026860350583771453,0.026860350583771453,0.0
2010-06-04,SPY,-2.0,5,-0.03513716523465116,0.026774059253746874,0.026774059253746874,0.025774059253746873,0.053326710105040975,0.053326710105040975,0.0
2010-06-29,SPY,-2.0,5,-0.030875176744249555,0.018232601013084437,0.018232601013084437,0.017232601013084436,0.07147826903670618,0.07147826903670618,0.0
2010-07-16,SPY,-2.0,5,-0.027534800050183494,0.03515857826293223,0.03515857826293223,0.03415857826293223,0.10807844334662775,0.10807844334662775,0.0
2010-08-11,SPY,-2.0,5,-0.02740694749704442,0.004482993742795038,0.004482993742795038,0.0034829937427950384,0.11193787363133034,0.11193787363133034,0.0
2011-02-22,SPY,-2.0,5,-0.02007045620350778,-0.006826847052889606,-0.006826847052889606,-0.007826847052889607,0.10323490596210272,0.11193787363133034,-0.007826847052889496
2011-06-01,SPY,-2.0,5,-0.022461082683623013,-0.026162081877817323,-0.026162081877817323,-0.027162081877817323,0.0732687491158941,0.11193787363133034,-0.03477633547021097
2011-07-27,SPY,-2.0,5,-0.020475884978383374,-0.033920433507836245,-0.033920433507836245,-0.034920433507836246,0.03578973912635397,0.11193787363133034,-0.06848236426761356
2011-08-02,SPY,-2.0,5,-0.02554715191591872,-0.06382984281278636,-0.06382984281278636,-0.06482984281278636,-0.03136034684830458,0.11193787363133034,-0.12887250616948254
2011-08-04,SPY,-2.0,5,-0.04684116658243764,-0.024364134216878885,-0.024364134216878885,-0.025364134216878886,-0.055929053018635155,0.11193787363133034,-0.15096790084301304
2011-08-08,SPY,-2.0,5,-0.06512300510216362,0.07446973622549447,0.07446973622549447,0.07346973622549446,0.013431590434238583,0.11193787363133034,-0.08858973647097135
2011-08-10,SPY,-2.0,5,-0.04417764236245547,0.06572228502589361,0.06572228502589361,0.06472228502589361,0.0790231986845682,0.11193787363133034,-0.02960118161932057
2011-08-18,SPY,-2.0,5,-0.04311842394915166,0.015457502213586771,0.015457502213586771,0.01445750221358677,0.09462317896806205,0.11193787363133034,-0.015571638554519707
2011-09-02,SPY,-2.0,5,-0.02554985926464437,-0.010012972114589513,-0.010012972114589513,-0.011012972114589514,0.08256812442210348,0.11193787363133034,-0.026413120647929778
2011-09-09,SPY,-2.0,5,-0.02620950699303759,0.05373252149299157,0.05373252149299157,0.05273252149299157,0.13965467131081977,0.13965467131081977,0.0
2011-09-21,SPY,-2.0,5,-0.029458027588215696,-0.012775469850623278,-0.012775469850623278,-0.013775469850623279,0.12395539274605549,0.13965467131081977,-0.01377546985062339
2011-09-22,SPY,-2.0,5,-0.032324462058276326,0.028265250761185134,0.028265250761185134,0.027265250761185134,0.15460031837366284,0.15460031837366284,0.0
2011-09-28,SPY,-2.0,5,-0.020418502969332675,-0.006253163874675116,-0.006253163874675116,-0.007253163874675116,0.1462258130547467,0.15460031837366284,-0.007253163874675006
2011-09-30,SPY,-2.0,5,-0.024989212857507437,0.022625056824657763,0.022625056824657763,0.021625056824657762,0.17101301139594494,0.17101301139594494,0.0
2011-10-03,SPY,-2.0,5,-0.028457701275012126,0.0877829041943432,0.0877829041943432,0.0867829041943432,0.2726369213742488,0.2726369213742488,0.0
2011-10-31,SPY,-2.0,5,-0.024105963481224735,0.006055800772855724,0.006055800772855724,0.005055800772855724,0.27907112010489765,0.27907112010489765,0.0
2011-11-01,SPY,-2.0,5,-0.027888102377168544,0.048196340093082046,0.048196340093082046,0.047196340093082045,0.33943859569260804,0.33943859569260804,0.0
2011-11-09,SPY,-2.0,5,-0.03690947616297613,0.007469944096782255,0.007469944096782255,0.006469944096782255,0.34810468852781185,0.34810468852781185,0.0
2011-11-23,SPY,-2.0,5,-0.022065712596191167,0.07215149585171443,0.07215149585171443,0.07115149585171443,0.44402435368127513,0.44402435368127513,0.0
2011-12-08,SPY,-2.0,5,-0.02193676646008036,-0.014279956739242317,-0.014279956739242317,-0.015279956739242317,0.42195972402661286,0.44402435368127513,-0.015279956739242317
2012-06-01,SPY,-2.0,5,-0.02517673317050584,0.038545691402854576,0.038545691402854576,0.037545691402854575,0.47534818501220455,0.47534818501220455,0.0
2012-06-21,SPY,-2.0,5,-0.022438777764431816,0.002642711604392556,0.002642711604392556,0.0016427116043925558,0.4777717565962438,0.4777717565962438,0.0
2012-11-07,SPY,-2.0,5,-0.022663595819231275,-0.027125488719081492,-0.027125488719081492,-0.028125488719081493,0.4362087037267188,0.4777717565962438,-0.028125488719081604
2013-04-15,SPY,-2.0,5,-0.023174055369344804,0.006768716060694402,0.006768716060694402,0.005768716060694402,0.44449378394241634,0.4777717565962438,-0.022519020616875718
2013-06-20,SPY,-2.0,5,-0.024777971038102864,0.0158870490038987,0.0158870490038987,0.0148870490038987,0.465998033689794,0.4777717565962438,-0.007967213376420368
2014-01-24,SPY,-2.0,5,-0.021335683083007817,-0.003969211944926498,-0.003969211944926498,-0.0049692119449264984,0.458713178749544,0.4777717565962438,-0.012896834549468994
2014-02-03,SPY,-2.0,5,-0.02250519995543654,0.03353044807468719,0.03353044807468719,0.03253044807468719,0.5061657720667176,0.5061657720667176,0.0
2014-04-10,SPY,-2.0,5,-0.021005878374613207,0.01763493038493036,0.01763493038493036,0.016634930384930358,0.5312207348332123,0.5312207348332123,0.0
2015-06-29,SPY,-2.0,5,-0.020970721115986857,0.012657151952376822,0.012657151952376822,0.01165715195237682,0.5490704076117934,0.5490704076117934,0.0
2015-08-20,SPY,-2.0,5,-0.020881356420610953,-0.02304227517197832,-0.02304227517197832,-0.024042275171978322,0.5118272306112219,0.5490704076117934,-0.024042275171978433
