Period,Transaction cost (%),Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2015-2019,0.0,XLV,-1.5,3,69,0.31,0.13,0.18,57.97,5.64,-8.11,1.9,-1.88,0.098
2015-2019,0.0,XLE,-1.0,3,241,0.21,0.01,0.2,56.85,11.03,-10.74,2.01,-2.15,0.094
2015-2019,0.0,DIA,-2.0,1,30,0.23,0.05,0.18,66.67,4.86,-4.57,1.33,-1.99,0.089
2015-2019,0.0,XLK,-1.0,1,144,0.18,0.08,0.11,57.64,6.04,-4.18,1.25,-1.27,0.086
2015-2019,0.0,IWM,-1.5,5,87,0.41,0.19,0.22,60.92,8.61,-8.4,2.37,-2.64,0.084
2015-2019,0.0,IWM,-1.5,3,87,0.28,0.11,0.17,60.92,7.17,-6.06,1.8,-2.08,0.081
2015-2019,0.0,XLV,-1.0,1,145,0.13,0.04,0.09,57.24,4.36,-4.43,1.07,-1.13,0.076
2015-2019,0.0,SPY,-2.0,1,30,0.21,0.05,0.16,66.67,5.05,-4.21,1.44,-2.26,0.071
2015-2019,0.0,DIA,-1.0,1,111,0.14,0.05,0.09,63.06,4.86,-4.57,0.97,-1.28,0.07
2015-2019,0.0,QQQ,-1.0,1,148,0.14,0.07,0.08,55.41,6.24,-4.37,1.2,-1.17,0.066
2015-2019,0.0,XLF,-2.0,1,48,0.16,0.05,0.11,62.5,4.53,-5.04,1.31,-1.76,0.064
2015-2019,0.0,DIA,-1.5,1,58,0.15,0.05,0.1,65.52,4.86,-4.57,1.11,-1.66,0.063
2015-2019,0.0,XLV,-2.0,1,38,0.15,0.04,0.11,57.89,4.36,-4.25,1.53,-1.74,0.063
2015-2019,0.0,SPY,-1.0,1,104,0.12,0.05,0.07,60.58,5.05,-4.21,1.0,-1.23,0.058
2015-2019,0.0,XLE,-3.0,1,30,0.11,0.0,0.1,60.0,6.22,-5.37,1.59,-2.12,0.05
2015-2019,0.0,XLE,-2.5,3,44,0.16,0.01,0.15,59.09,6.99,-10.74,2.54,-3.28,0.045
2015-2019,0.0,XLK,-1.5,1,93,0.13,0.08,0.06,55.91,6.04,-4.18,1.33,-1.4,0.04
2015-2019,0.0,XLE,-1.5,3,136,0.11,0.01,0.1,58.09,6.99,-10.74,2.0,-2.52,0.038
2015-2019,0.0,IWM,-2.0,1,40,0.08,0.04,0.04,57.5,2.19,-3.28,1.04,-1.22,0.035
2015-2019,0.0,SPY,-1.5,1,56,0.1,0.05,0.05,57.14,5.05,-4.21,1.24,-1.43,0.034
2015-2019,0.0,IWM,-1.0,5,166,0.26,0.19,0.07,58.43,8.61,-8.4,2.21,-2.49,0.026
2015-2019,0.0,XLV,-1.5,1,69,0.05,0.04,0.01,55.07,4.36,-4.25,1.21,-1.37,0.005
2015-2019,0.0,IWM,-2.0,3,40,0.12,0.11,0.01,60.0,5.79,-6.06,1.77,-2.34,0.004
2015-2019,0.1,QQQ,-2.5,5,33,1.82,0.34,1.48,72.73,7.88,-2.67,2.93,-1.14,1.303
2015-2019,0.1,XLK,-2.5,5,30,1.78,0.38,1.4,70.0,8.4,-4.54,3.13,-1.37,1.021
2015-2019,0.1,SPY,-2.0,5,30,1.35,0.24,1.11,70.0,6.66,-5.16,2.59,-1.55,0.714
2015-2019,0.1,XLK,-2.5,3,30,1.07,0.23,0.84,60.0,6.53,-2.79,2.78,-1.5,0.56
2015-2019,0.1,XLF,-2.5,5,27,1.16,0.24,0.92,70.37,6.75,-5.11,2.5,-2.03,0.452
2015-2019,0.1,XLK,-2.0,5,50,1.23,0.38,0.85,68.0,8.4,-8.53,2.87,-2.25,0.378
2015-2019,0.1,QQQ,-2.5,3,33,0.92,0.2,0.72,63.64,7.19,-8.5,2.54,-1.92,0.374
2015-2019,0.1,XLV,-2.0,5,38,0.86,0.21,0.65,65.79,6.4,-6.74,2.32,-1.95,0.331
2015-2019,0.1,XLE,-3.0,5,30,1.19,0.02,1.17,60.0,10.45,-8.09,4.42,-3.66,0.32
2015-2019,0.1,SPY,-2.0,3,30,0.74,0.14,0.6,60.0,5.62,-8.29,2.51,-1.91,0.311
2015-2019,0.1,SPY,-1.5,5,56,0.89,0.24,0.65,67.86,6.66,-7.8,2.29,-2.09,0.31
2015-2019,0.1,XLK,-2.0,3,50,0.79,0.23,0.56,60.0,6.53,-8.44,2.53,-1.82,0.308
2015-2019,0.1,XLF,-2.5,3,27,0.74,0.15,0.59,59.26,7.22,-4.72,2.61,-1.99,0.299
2015-2019,0.1,XLF,-2.0,5,48,0.87,0.24,0.63,64.58,7.56,-5.82,2.59,-2.27,0.277
2015-2019,0.1,SPY,-1.5,3,56,0.63,0.14,0.48,62.5,5.62,-8.29,2.08,-1.79,0.271
2015-2019,0.1,XLK,-1.5,5,93,1.0,0.38,0.62,66.67,8.88,-8.53,2.65,-2.31,0.268
2015-2019,0.1,QQQ,-2.0,5,54,0.94,0.34,0.6,62.96,7.88,-8.69,2.82,-2.25,0.266
2015-2019,0.1,DIA,-2.0,5,30,0.93,0.25,0.67,70.0,6.9,-7.6,2.42,-2.56,0.262
2015-2019,0.1,XLF,-1.5,5,84,0.82,0.24,0.57,65.48,7.56,-6.07,2.45,-2.28,0.252
2015-2019,0.1,QQQ,-1.5,5,88,0.88,0.34,0.54,62.5,7.88,-8.69,2.72,-2.18,0.249
2015-2019,0.1,XLE,-3.0,3,30,0.75,0.01,0.74,66.67,6.89,-6.42,2.76,-3.28,0.226
2015-2019,0.1,DIA,-1.5,5,58,0.69,0.25,0.44,67.24,6.9,-7.6,2.08,-2.15,0.204
2015-2019,0.1,XLK,-1.0,5,144,0.82,0.38,0.44,64.58,8.88,-8.53,2.47,-2.17,0.204
2015-2019,0.1,XLK,-1.5,3,93,0.61,0.23,0.38,60.22,6.53,-8.44,2.36,-2.02,0.189
2015-2019,0.1,QQQ,-1.0,5,148,0.74,0.34,0.4,64.86,7.88,-8.69,2.31,-2.16,0.184
