Period,Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2014,XLK,-2.5,5,20,1.53,0.3,1.23,70.0,6.93,-3.23,3.09,-2.1,0.585
2010-2014,XLK,-3.0,1,11,0.29,0.06,0.23,54.55,4.57,-2.43,1.9,-1.65,0.141
2010-2014,XLK,-3.0,3,11,1.35,0.18,1.17,63.64,6.42,-2.08,2.94,-1.44,0.81
2010-2014,XLK,-3.0,5,11,1.8,0.3,1.5,81.82,6.93,-3.23,2.8,-2.7,0.558
2010-2014,XLF,-1.0,1,196,0.26,0.06,0.2,59.69,7.73,-9.46,1.37,-1.4,0.144
2010-2014,XLF,-1.0,3,196,0.41,0.17,0.24,57.14,8.78,-9.23,2.3,-2.15,0.111
2010-2014,XLF,-1.0,5,196,0.72,0.27,0.44,59.69,11.02,-9.58,2.81,-2.43,0.182
2010-2014,XLF,-1.5,1,126,0.26,0.06,0.2,58.73,7.73,-9.46,1.54,-1.56,0.13
2010-2014,XLF,-1.5,3,126,0.28,0.17,0.11,52.38,8.78,-9.23,2.57,-2.24,0.05
2010-2014,XLF,-1.5,5,126,0.55,0.27,0.27,57.14,10.28,-9.58,3.07,-2.81,0.097
2010-2014,XLF,-2.0,1,80,0.3,0.06,0.24,58.75,7.73,-4.74,1.59,-1.53,0.159
2010-2014,XLF,-2.0,3,80,0.43,0.17,0.26,52.5,8.78,-7.96,2.91,-2.32,0.111
2010-2014,XLF,-2.0,5,80,0.7,0.27,0.43,56.25,10.28,-8.71,3.57,-2.99,0.143
2010-2014,XLF,-2.5,1,43,0.49,0.06,0.43,58.14,7.73,-4.74,2.02,-1.65,0.262
2010-2014,XLF,-2.5,3,43,0.84,0.17,0.68,58.14,8.78,-7.96,3.46,-2.79,0.242
2010-2014,XLF,-2.5,5,43,1.33,0.27,1.06,55.81,10.28,-8.71,4.27,-2.38,0.445
2010-2014,XLF,-3.0,1,29,0.57,0.06,0.52,51.72,7.73,-4.74,2.78,-1.79,0.288
2010-2014,XLF,-3.0,3,29,1.56,0.17,1.39,65.52,8.78,-4.31,3.2,-1.54,0.903
2010-2014,XLF,-3.0,5,29,2.13,0.27,1.86,65.52,10.28,-5.99,4.26,-1.91,0.969
2010-2014,XLE,-1.0,1,218,0.05,0.04,0.01,51.83,5.19,-6.42,1.32,-1.32,0.006
2010-2014,XLE,-1.0,3,218,0.17,0.12,0.05,52.75,9.54,-10.13,2.45,-2.38,0.021
2010-2014,XLE,-1.0,5,218,0.47,0.2,0.27,55.96,12.63,-11.8,3.09,-2.86,0.095
2010-2014,XLE,-1.5,1,137,0.13,0.04,0.09,52.55,5.19,-5.64,1.4,-1.28,0.07
2010-2014,XLE,-1.5,3,137,0.37,0.12,0.25,55.47,9.54,-10.13,2.71,-2.54,0.098
2010-2014,XLE,-1.5,5,137,0.71,0.2,0.51,60.58,12.63,-11.8,3.23,-3.16,0.162
2010-2014,XLE,-2.0,1,72,0.15,0.04,0.11,50.0,5.19,-5.64,1.43,-1.13,0.097
2010-2014,XLE,-2.0,3,72,0.4,0.12,0.28,50.0,9.54,-8.27,3.05,-2.24,0.126
2010-2014,XLE,-2.0,5,72,0.77,0.2,0.57,61.11,12.63,-11.8,3.26,-3.14,0.182
2010-2014,XLE,-2.5,1,43,0.07,0.04,0.03,46.51,5.19,-5.64,1.79,-1.42,0.022
2010-2014,XLE,-2.5,3,43,0.24,0.12,0.12,46.51,9.54,-8.27,3.37,-2.48,0.047
