Period,Transaction cost (%),Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2010-2014,0.1,QQQ,-2.5,5,26,1.3,0.38,0.92,69.23,9.29,-5.86,3.0,-2.55,0.361
2010-2014,0.1,XLE,-3.0,3,30,0.91,0.12,0.78,56.67,9.44,-5.75,3.45,-2.42,0.325
2010-2014,0.1,IWM,-2.0,5,67,1.23,0.32,0.91,62.69,12.0,-9.6,3.64,-2.81,0.322
2010-2014,0.1,XLK,-2.0,5,44,1.04,0.3,0.74,59.09,8.48,-7.11,3.37,-2.33,0.318
2010-2014,0.1,QQQ,-2.0,3,45,0.72,0.23,0.49,60.0,6.97,-6.34,2.39,-1.79,0.275
2010-2014,0.1,XLK,-2.0,3,44,0.68,0.18,0.5,59.09,6.52,-5.66,2.43,-1.85,0.271
2010-2014,0.1,QQQ,-2.0,5,45,0.93,0.38,0.56,60.0,9.29,-5.86,3.02,-2.19,0.253
2010-2014,0.1,QQQ,-2.5,3,26,0.87,0.23,0.64,69.23,6.78,-6.34,2.39,-2.55,0.253
2010-2014,0.1,XLE,-2.5,5,43,1.17,0.2,0.97,69.77,12.53,-11.9,3.4,-3.99,0.242
2010-2014,0.1,XLV,-2.0,1,28,0.26,0.07,0.18,57.14,4.47,-2.12,1.02,-0.77,0.237
2010-2014,0.1,XLV,-2.0,5,28,0.75,0.37,0.38,64.29,7.28,-5.07,2.15,-1.77,0.215
2010-2014,0.1,IWM,-1.5,5,129,0.89,0.32,0.57,61.24,12.0,-9.6,3.2,-2.76,0.206
2010-2014,0.1,XLF,-2.5,3,43,0.74,0.17,0.58,58.14,8.68,-8.06,3.36,-2.89,0.199
2010-2014,0.1,DIA,-1.5,3,58,0.41,0.17,0.24,55.17,7.03,-5.2,1.95,-1.48,0.164
2010-2014,0.1,XLE,-2.0,5,72,0.67,0.2,0.47,61.11,12.53,-11.9,3.16,-3.24,0.145
2010-2014,0.1,XLF,-1.0,5,196,0.62,0.27,0.34,58.67,10.92,-9.68,2.76,-2.46,0.139
2010-2014,0.1,SPY,-2.0,3,38,0.43,0.18,0.25,57.89,7.32,-5.43,2.07,-1.82,0.137
2010-2014,0.1,XLE,-1.5,5,137,0.61,0.2,0.41,60.58,12.53,-11.9,3.13,-3.26,0.126
2010-2014,0.1,XLF,-2.0,5,80,0.6,0.27,0.33,55.0,10.18,-8.81,3.55,-3.0,0.109
2010-2014,0.1,SPY,-1.0,5,139,0.55,0.3,0.25,59.71,8.68,-7.39,2.45,-2.27,0.108
2010-2014,0.1,SPY,-1.0,3,139,0.36,0.18,0.17,57.55,7.32,-5.43,1.87,-1.7,0.103
2010-2014,0.1,IWM,-1.0,5,231,0.56,0.32,0.23,56.71,12.0,-9.6,2.85,-2.44,0.096
2010-2014,0.1,QQQ,-1.0,5,163,0.57,0.38,0.19,60.12,9.29,-7.88,2.38,-2.21,0.086
2010-2014,0.1,IWM,-1.5,3,129,0.4,0.2,0.2,55.04,9.98,-7.99,2.68,-2.4,0.085
2010-2014,0.1,XLF,-1.0,1,196,0.16,0.06,0.1,57.65,7.63,-9.56,1.31,-1.43,0.071
2010-2014,0.1,XLF,-1.5,1,126,0.16,0.06,0.1,55.56,7.63,-9.56,1.52,-1.54,0.067
2010-2014,0.1,DIA,-1.0,5,115,0.42,0.28,0.14,57.39,7.28,-6.57,2.37,-2.2,0.065
2010-2014,0.1,XLF,-1.0,3,196,0.31,0.17,0.14,56.12,8.68,-9.33,2.24,-2.2,0.063
2010-2014,0.1,XLF,-1.5,5,126,0.45,0.27,0.17,55.56,10.18,-9.68,3.06,-2.81,0.062
2010-2014,0.1,XLE,-1.0,5,218,0.37,0.2,0.17,55.05,12.53,-11.9,3.04,-2.9,0.059
2010-2014,0.1,IWM,-3.0,3,28,0.38,0.2,0.19,57.14,9.98,-7.99,3.08,-3.21,0.058
2010-2014,0.1,XLV,-1.0,5,127,0.43,0.37,0.06,65.35,7.28,-10.12,1.83,-2.21,0.028
2010-2014,0.1,QQQ,-1.5,5,96,0.42,0.38,0.05,57.29,9.29,-7.88,2.58,-2.47,0.019
2010-2014,0.1,XLK,-1.0,5,158,0.3,0.3,0.01,56.33,8.48,-7.11,2.27,-2.27,0.003
2010-2014,0.25,XLF,-3.0,5,29,1.88,0.27,1.61,58.62,10.03,-6.24,4.49,-1.82,0.88
2010-2014,0.25,XLF,-3.0,3,29,1.31,0.17,1.14,62.07,8.53,-4.56,3.11,-1.64,0.698
2010-2014,0.25,XLE,-3.0,5,30,2.26,0.2,2.06,83.33,12.38,-5.31,3.48,-3.86,0.534
2010-2014,0.25,DIA,-2.0,5,31,1.54,0.28,1.26,74.19,7.13,-5.39,2.94,-2.5,0.502
2010-2014,0.25,IWM,-3.0,5,28,1.8,0.32,1.48,67.86,11.85,-9.75,4.23,-3.33,0.444
2010-2014,0.25,SPY,-2.0,5,38,1.03,0.3,0.72,63.16,8.53,-6.63,2.89,-2.17,0.334
2010-2014,0.25,IWM,-2.5,5,44,1.26,0.32,0.94,63.64,11.85,-9.75,3.74,-3.08,0.304
2010-2014,0.25,DIA,-2.0,3,31,0.59,0.17,0.43,58.06,6.88,-3.8,2.05,-1.43,0.298
2010-2014,0.25,QQQ,-2.5,5,26,1.15,0.38,0.77,69.23,9.14,-6.01,2.85,-2.7,0.285
2010-2014,0.25,DIA,-1.5,5,58,0.79,0.28,0.51,58.62,7.13,-5.39,2.65,-1.84,0.279
2010-2014,0.25,IWM,-2.0,5,67,1.08,0.32,0.76,62.69,11.85,-9.75,3.49,-2.96,0.255
2010-2014,0.25,XLE,-3.0,3,30,0.76,0.12,0.63,56.67,9.29,-5.9,3.3,-2.57,0.247
2010-2014,0.25,XLK,-2.0,5,44,0.89,0.3,0.59,59.09,8.33,-7.26,3.22,-2.48,0.238
2010-2014,0.25,QQQ,-2.5,3,26,0.72,0.23,0.49,65.38,6.63,-6.49,2.37,-2.4,0.206
2010-2014,0.25,XLE,-2.5,5,43,1.02,0.2,0.82,69.77,12.38,-12.05,3.25,-4.14,0.197
2010-2014,0.25,QQQ,-2.0,3,45,0.57,0.23,0.34,57.78,6.82,-6.49,2.33,-1.84,0.186
2010-2014,0.25,XLK,-2.0,3,44,0.53,0.18,0.35,56.82,6.37,-5.81,2.37,-1.9,0.185
2010-2014,0.25,QQQ,-2.0,5,45,0.78,0.38,0.41,60.0,9.14,-6.01,2.87,-2.34,0.173
2010-2014,0.25,XLF,-2.5,3,43,0.59,0.17,0.43,55.81,8.53,-8.21,3.35,-2.88,0.148
2010-2014,0.25,IWM,-1.5,5,129,0.74,0.32,0.42,61.24,11.85,-9.75,3.05,-2.91,0.144
2010-2014,0.25,XLV,-2.0,5,28,0.6,0.37,0.23,60.71,7.13,-5.22,2.12,-1.75,0.132
2010-2014,0.25,XLE,-2.0,5,72,0.52,0.2,0.32,59.72,12.38,-12.05,3.08,-3.28,0.098
2010-2014,0.25,XLE,-1.5,5,137,0.46,0.2,0.26,58.39,12.38,-12.05,3.09,-3.23,0.08
2010-2014,0.25,XLF,-1.0,5,196,0.47,0.27,0.19,57.14,10.77,-9.83,2.68,-2.52,0.076
2010-2014,0.25,SPY,-2.0,3,38,0.28,0.18,0.1,57.89,7.17,-5.58,1.92,-1.97,0.05
2010-2014,0.25,SPY,-1.0,5,139,0.4,0.3,0.1,58.27,8.53,-7.54,2.36,-2.33,0.041
2010-2014,0.25,IWM,-1.0,5,231,0.41,0.32,0.08,56.28,11.85,-9.75,2.72,-2.57,0.033
2010-2014,0.25,QQQ,-1.0,5,163,0.42,0.38,0.04,60.12,9.14,-8.03,2.23,-2.36,0.017
2010-2014,0.25,SPY,-1.0,3,139,0.21,0.18,0.02,56.83,7.17,-5.58,1.74,-1.82,0.013
2010-2014,0.5,XLF,-3.0,5,29,1.63,0.27,1.36,55.17,9.78,-6.49,4.52,-1.92,0.705
2010-2014,0.5,XLE,-3.0,5,30,2.01,0.2,1.81,76.67,12.13,-5.56,3.53,-2.98,0.608
2010-2014,0.5,XLF,-3.0,3,29,1.06,0.17,0.89,62.07,8.28,-4.81,2.86,-1.89,0.473
2010-2014,0.5,DIA,-2.0,5,31,1.29,0.28,1.01,67.74,6.88,-5.64,2.96,-2.23,0.452
2010-2014,0.5,IWM,-3.0,5,28,1.55,0.32,1.23,67.86,11.6,-10.0,3.98,-3.58,0.343
2010-2014,0.5,SPY,-2.0,5,38,0.78,0.3,0.47,57.89,8.28,-6.88,2.9,-2.13,0.222
2010-2014,0.5,IWM,-2.5,5,44,1.01,0.32,0.69,63.64,11.6,-10.0,3.49,-3.33,0.206
2010-2014,0.5,QQQ,-2.5,5,26,0.9,0.38,0.52,65.38,8.89,-6.26,2.77,-2.64,0.197
2010-2014,0.5,IWM,-2.0,5,67,0.83,0.32,0.51,62.69,11.6,-10.0,3.24,-3.21,0.158
2010-2014,0.5,XLE,-2.5,5,43,0.77,0.2,0.57,65.12,12.13,-12.3,3.23,-3.83,0.148
2010-2014,0.5,XLE,-3.0,3,30,0.51,0.12,0.38,56.67,9.04,-6.15,3.05,-2.82,0.137
2010-2014,0.5,XLK,-2.0,5,44,0.64,0.3,0.34,59.09,8.08,-7.51,2.97,-2.73,0.125
2010-2014,0.5,QQQ,-2.5,3,26,0.47,0.23,0.24,65.38,6.38,-6.74,2.12,-2.65,0.092
2010-2014,0.5,QQQ,-2.0,5,45,0.53,0.38,0.16,57.78,8.89,-6.26,2.72,-2.47,0.063
2010-2014,0.5,IWM,-1.5,5,129,0.49,0.32,0.17,58.91,11.6,-10.0,2.92,-2.99,0.056
2010-2014,0.5,XLF,-2.5,3,43,0.34,0.17,0.18,55.81,8.28,-8.46,3.1,-3.13,0.056
2010-2014,0.5,QQQ,-2.0,3,45,0.32,0.23,0.09,55.56,6.57,-6.74,2.17,-1.99,0.047
2010-2014,0.5,XLE,-2.0,5,72,0.27,0.2,0.07,56.94,12.13,-12.3,2.98,-3.31,0.022
2010-2014,0.5,XLE,-1.5,5,137,0.21,0.2,0.01,55.47,12.13,-12.3,3.0,-3.26,0.003
