Period,Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2024,DIA,-1.0,3,379,0.35,0.15,0.2,58.05,20.92,-14.14,1.98,-1.9,0.106
2010-2024,DIA,-1.0,5,379,0.57,0.25,0.31,60.95,19.86,-18.87,2.45,-2.38,0.132
2010-2024,DIA,-1.5,1,197,0.26,0.05,0.2,58.38,11.02,-10.06,1.38,-1.32,0.155
2010-2024,DIA,-1.5,3,197,0.42,0.15,0.26,58.38,20.92,-14.14,2.29,-2.21,0.119
2010-2024,DIA,-1.5,5,197,0.76,0.25,0.5,61.42,19.86,-18.87,2.9,-2.64,0.191
2010-2024,DIA,-2.0,1,106,0.31,0.05,0.26,58.49,11.02,-10.06,1.65,-1.57,0.166
2010-2024,DIA,-2.0,3,106,0.46,0.15,0.3,53.77,20.92,-14.14,2.87,-2.35,0.129
2010-2024,DIA,-2.0,5,106,0.86,0.25,0.61,64.15,19.86,-18.87,3.42,-3.71,0.164
2010-2024,DIA,-2.5,1,59,0.53,0.05,0.48,59.32,11.02,-10.06,2.27,-2.0,0.239
2010-2024,DIA,-2.5,3,59,0.5,0.15,0.35,52.54,20.92,-14.14,3.62,-2.95,0.117
2010-2024,DIA,-2.5,5,59,0.78,0.25,0.53,64.41,19.86,-18.87,3.99,-5.03,0.105
2010-2024,DIA,-3.0,1,36,0.58,0.05,0.53,52.78,11.02,-10.06,2.87,-1.97,0.269
2010-2024,DIA,-3.0,3,36,0.4,0.15,0.24,50.0,20.92,-14.14,4.56,-3.77,0.065
2010-2024,DIA,-3.0,5,36,0.66,0.25,0.41,63.89,19.86,-18.87,4.77,-6.6,0.062
2010-2024,XLK,-1.0,1,569,0.17,0.08,0.1,56.06,11.73,-9.76,1.33,-1.3,0.076
2010-2024,XLK,-1.0,3,569,0.38,0.22,0.15,55.54,10.45,-13.1,2.36,-2.12,0.071
