Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2020-2024,DIA,Broad Index,Core,-1.0,1,153,0.21,0.05,0.17,52.94,11.02,-10.06,1.5,-1.24,0.134
2020-2024,DIA,Broad Index,Core,-1.0,3,153,0.33,0.14,0.19,57.52,20.92,-14.14,2.25,-2.28,0.082
2020-2024,DIA,Broad Index,Core,-1.0,5,153,0.54,0.24,0.3,60.13,19.86,-18.87,2.76,-2.82,0.108
2020-2024,DIA,Broad Index,Core,-1.5,1,81,0.4,0.05,0.35,54.32,11.02,-10.06,1.9,-1.4,0.25
2020-2024,DIA,Broad Index,Core,-1.5,3,81,0.27,0.14,0.13,54.32,20.92,-14.14,2.85,-2.79,0.048
2020-2024,DIA,Broad Index,Core,-1.5,5,81,0.53,0.24,0.3,58.02,19.86,-18.87,3.54,-3.64,0.081
2020-2024,DIA,Broad Index,Core,-2.0,1,45,0.62,0.05,0.57,57.78,11.02,-10.06,2.23,-1.58,0.363
2020-2024,DIA,Broad Index,Core,-2.0,3,45,0.06,0.14,-0.08,46.67,20.92,-14.14,3.78,-3.19,-0.024
2020-2024,DIA,Broad Index,Core,-2.0,5,45,0.12,0.24,-0.12,53.33,19.86,-18.87,4.42,-4.79,-0.024
2020-2024,DIA,Broad Index,Core,-2.5,1,31,0.89,0.05,0.84,61.29,11.02,-10.06,2.72,-2.01,0.418
2020-2024,DIA,Broad Index,Core,-2.5,3,31,-0.23,0.14,-0.37,45.16,20.92,-14.14,4.4,-4.05,-0.092
2020-2024,DIA,Broad Index,Core,-2.5,5,31,-0.55,0.24,-0.78,45.16,19.86,-18.87,5.61,-5.62,-0.139
2020-2024,DIA,Broad Index,Core,-3.0,1,19,1.0,0.05,0.96,52.63,11.02,-10.06,3.95,-2.27,0.422
2020-2024,DIA,Broad Index,Core,-3.0,3,19,-0.57,0.14,-0.71,42.11,20.92,-14.14,6.04,-5.39,-0.133
2020-2024,DIA,Broad Index,Core,-3.0,5,19,-0.96,0.24,-1.19,42.11,19.86,-18.87,7.93,-7.42,-0.161
2020-2024,XLK,Sector,Core,-1.0,1,267,0.25,0.09,0.16,57.68,11.73,-9.76,1.56,-1.54,0.103
2020-2024,XLK,Sector,Core,-1.0,3,267,0.44,0.27,0.17,55.81,10.45,-13.1,2.71,-2.48,0.067
2020-2024,XLK,Sector,Core,-1.0,5,267,0.69,0.45,0.24,58.05,11.29,-17.04,3.47,-3.22,0.074
2020-2024,XLK,Sector,Core,-1.5,1,175,0.36,0.09,0.27,61.71,11.73,-9.76,1.7,-1.79,0.15
2020-2024,XLK,Sector,Core,-1.5,3,175,0.6,0.27,0.33,57.14,10.45,-13.1,2.96,-2.55,0.128
2020-2024,XLK,Sector,Core,-1.5,5,175,0.87,0.45,0.42,60.0,11.29,-17.04,3.72,-3.41,0.122
2020-2024,XLK,Sector,Core,-2.0,1,114,0.35,0.09,0.26,58.77,11.73,-9.76,1.78,-1.7,0.151
2020-2024,XLK,Sector,Core,-2.0,3,114,0.38,0.27,0.11,59.65,9.35,-13.1,2.77,-3.15,0.035
2020-2024,XLK,Sector,Core,-2.0,5,114,0.46,0.45,0.0,56.14,11.29,-17.04,3.74,-3.75,0.001
2020-2024,XLK,Sector,Core,-2.5,1,74,0.45,0.09,0.36,55.41,11.73,-9.76,2.19,-1.72,0.206
2020-2024,XLK,Sector,Core,-2.5,3,74,0.11,0.27,-0.16,51.35,9.35,-13.1,3.2,-3.15,-0.051
2020-2024,XLK,Sector,Core,-2.5,5,74,0.3,0.45,-0.16,51.35,11.29,-17.04,4.04,-3.66,-0.043
2020-2024,XLK,Sector,Core,-3.0,1,44,0.46,0.09,0.37,56.82,11.73,-9.76,2.3,-1.96,0.189
2020-2024,XLK,Sector,Core,-3.0,3,44,-0.22,0.27,-0.49,50.0,9.35,-13.1,3.17,-3.61,-0.136
2020-2024,XLK,Sector,Core,-3.0,5,44,-0.31,0.45,-0.76,43.18,11.29,-17.04,4.48,-3.95,-0.193
2020-2024,XLF,Sector,Core,-1.0,1,226,0.09,0.06,0.03,51.77,13.16,-10.81,1.7,-1.64,0.021
2020-2024,XLF,Sector,Core,-1.0,3,226,0.17,0.17,-0.0,54.87,22.71,-12.92,2.55,-2.74,-0.001
2020-2024,XLF,Sector,Core,-1.0,5,226,0.33,0.28,0.05,56.64,21.23,-22.99,3.2,-3.42,0.014
2020-2024,XLF,Sector,Core,-1.5,1,137,0.06,0.06,0.0,48.91,13.16,-10.81,2.19,-1.98,0.002
2020-2024,XLF,Sector,Core,-1.5,3,137,-0.1,0.17,-0.27,53.28,22.71,-12.92,2.88,-3.51,-0.077
2020-2024,XLF,Sector,Core,-1.5,5,137,0.22,0.28,-0.06,54.74,21.23,-22.99,3.73,-4.01,-0.015
2020-2024,XLF,Sector,Core,-2.0,1,82,-0.0,0.06,-0.06,47.56,13.16,-10.81,2.47,-2.24,-0.026
2020-2024,XLF,Sector,Core,-2.0,3,82,-0.63,0.17,-0.8,48.78,22.71,-12.92,3.16,-4.23,-0.188
2020-2024,XLF,Sector,Core,-2.0,5,82,-0.33,0.28,-0.61,48.78,21.23,-22.99,4.23,-4.67,-0.131
2020-2024,XLF,Sector,Core,-2.5,1,55,0.05,0.06,-0.01,52.73,13.16,-10.81,2.73,-2.95,-0.003
2020-2024,XLF,Sector,Core,-2.5,3,55,-0.98,0.17,-1.15,43.64,22.71,-12.92,3.83,-4.7,-0.244
2020-2024,XLF,Sector,Core,-2.5,5,55,-1.05,0.28,-1.34,43.64,21.23,-22.99,4.73,-5.53,-0.242
2020-2024,XLF,Sector,Core,-3.0,1,32,0.22,0.06,0.16,56.25,13.16,-10.81,3.4,-3.87,0.042
2020-2024,XLF,Sector,Core,-3.0,3,32,-1.32,0.17,-1.48,40.62,22.71,-12.92,4.84,-5.53,-0.268
2020-2024,XLF,Sector,Core,-3.0,5,32,-1.85,0.28,-2.13,34.38,21.23,-22.99,6.7,-6.33,-0.337
2020-2024,XLE,Sector,Core,-1.0,1,315,0.01,0.07,-0.06,49.84,16.04,-20.14,1.89,-1.85,-0.033
2020-2024,XLE,Sector,Core,-1.0,3,315,0.09,0.21,-0.12,52.38,28.94,-21.05,3.29,-3.43,-0.035
2020-2024,XLE,Sector,Core,-1.0,5,315,0.28,0.36,-0.07,53.33,23.9,-34.55,4.22,-4.22,-0.018
2020-2024,XLE,Sector,Core,-1.5,1,234,0.11,0.07,0.04,51.71,16.04,-20.14,2.01,-1.91,0.022
2020-2024,XLE,Sector,Core,-1.5,3,234,0.23,0.21,0.02,54.27,28.94,-21.05,3.41,-3.55,0.005
2020-2024,XLE,Sector,Core,-1.5,5,234,0.4,0.36,0.05,52.99,23.9,-34.55,4.6,-4.33,0.011
2020-2024,XLE,Sector,Core,-2.0,1,164,0.07,0.07,-0.0,52.44,16.04,-20.14,2.16,-2.23,-0.001
2020-2024,XLE,Sector,Core,-2.0,3,164,0.22,0.21,0.01,54.27,28.94,-21.05,3.81,-4.03,0.003
2020-2024,XLE,Sector,Core,-2.0,5,164,0.39,0.36,0.03,50.61,23.9,-34.55,5.36,-4.71,0.006
2020-2024,XLE,Sector,Core,-2.5,1,110,0.08,0.07,0.01,54.55,16.04,-20.14,2.33,-2.62,0.004
2020-2024,XLE,Sector,Core,-2.5,3,110,0.32,0.21,0.11,59.09,28.94,-21.05,3.93,-4.9,0.021
2020-2024,XLE,Sector,Core,-2.5,5,110,0.59,0.36,0.23,54.55,23.9,-34.55,5.74,-5.59,0.042
2020-2024,XLE,Sector,Core,-3.0,1,75,0.12,0.07,0.05,56.0,16.04,-20.14,2.68,-3.14,0.015
2020-2024,XLE,Sector,Core,-3.0,3,75,0.07,0.21,-0.14,58.67,28.94,-21.05,4.36,-6.02,-0.024
