Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2020-2024,XLRE,Sector,Expanded Addition,-1.5,3,137,-0.15,0.09,-0.23,48.18,22.27,-16.47,2.73,-2.82,-0.083
2020-2024,XLRE,Sector,Expanded Addition,-1.5,5,137,0.03,0.15,-0.12,52.55,25.77,-17.63,3.46,-3.77,-0.032
2020-2024,XLRE,Sector,Expanded Addition,-2.0,1,79,-0.03,0.03,-0.06,43.04,8.78,-8.59,2.14,-1.67,-0.034
2020-2024,XLRE,Sector,Expanded Addition,-2.0,3,79,-0.53,0.09,-0.62,41.77,22.27,-16.47,3.29,-3.27,-0.19
2020-2024,XLRE,Sector,Expanded Addition,-2.0,5,79,-0.34,0.15,-0.49,50.63,25.77,-17.63,3.87,-4.66,-0.105
2020-2024,XLRE,Sector,Expanded Addition,-2.5,1,52,0.21,0.03,0.18,46.15,8.78,-8.59,2.51,-1.75,0.104
2020-2024,XLRE,Sector,Expanded Addition,-2.5,3,52,-0.54,0.09,-0.63,38.46,22.27,-16.47,3.94,-3.34,-0.188
2020-2024,XLRE,Sector,Expanded Addition,-2.5,5,52,-0.01,0.15,-0.16,53.85,25.77,-17.63,4.19,-4.9,-0.032
2020-2024,XLRE,Sector,Expanded Addition,-3.0,1,28,-0.07,0.03,-0.1,35.71,8.78,-8.59,3.82,-2.24,-0.046
2020-2024,XLRE,Sector,Expanded Addition,-3.0,3,28,-0.73,0.09,-0.82,28.57,22.27,-16.47,6.35,-3.57,-0.231
2020-2024,XLRE,Sector,Expanded Addition,-3.0,5,28,-0.21,0.15,-0.36,46.43,25.77,-17.63,6.01,-5.6,-0.064
2020-2024,SMH,Semiconductors,Expanded Addition,-1.0,1,348,0.3,0.13,0.17,54.02,10.22,-10.56,2.08,-1.81,0.097
2020-2024,SMH,Semiconductors,Expanded Addition,-1.0,3,348,0.62,0.37,0.25,54.02,14.48,-16.03,3.57,-2.92,0.084
2020-2024,SMH,Semiconductors,Expanded Addition,-1.0,5,348,0.91,0.62,0.29,59.48,16.89,-19.23,4.14,-3.95,0.073
2020-2024,SMH,Semiconductors,Expanded Addition,-1.5,1,259,0.33,0.13,0.2,55.21,10.22,-10.56,2.13,-1.9,0.105
2020-2024,SMH,Semiconductors,Expanded Addition,-1.5,3,259,0.4,0.37,0.02,50.97,13.56,-16.03,3.67,-3.03,0.008
2020-2024,SMH,Semiconductors,Expanded Addition,-1.5,5,259,0.81,0.62,0.19,59.85,13.96,-19.23,4.26,-4.38,0.044
2020-2024,SMH,Semiconductors,Expanded Addition,-2.0,1,180,0.47,0.13,0.35,57.78,10.22,-10.56,2.27,-1.98,0.176
2020-2024,SMH,Semiconductors,Expanded Addition,-2.0,3,180,0.6,0.37,0.22,52.22,13.24,-16.03,3.99,-3.12,0.072
2020-2024,SMH,Semiconductors,Expanded Addition,-2.0,5,180,0.78,0.62,0.16,60.0,13.96,-19.23,4.47,-4.75,0.034
2020-2024,SMH,Semiconductors,Expanded Addition,-2.5,1,136,0.47,0.13,0.35,59.56,10.22,-10.56,2.29,-2.21,0.156
2020-2024,SMH,Semiconductors,Expanded Addition,-2.5,3,136,0.42,0.37,0.05,53.68,12.75,-16.03,3.68,-3.36,0.015
2020-2024,SMH,Semiconductors,Expanded Addition,-2.5,5,136,0.36,0.62,-0.26,55.88,13.96,-19.23,4.46,-4.83,-0.053
2020-2024,SMH,Semiconductors,Expanded Addition,-3.0,1,94,0.55,0.13,0.43,61.7,9.7,-10.56,2.21,-2.12,0.201
2020-2024,SMH,Semiconductors,Expanded Addition,-3.0,3,94,0.28,0.37,-0.09,55.32,10.64,-16.03,3.4,-3.57,-0.024
2020-2024,SMH,Semiconductors,Expanded Addition,-3.0,5,94,0.38,0.62,-0.23,55.32,13.96,-19.23,4.46,-4.66,-0.05
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.0,1,352,0.32,0.1,0.22,55.68,10.73,-10.96,2.08,-1.89,0.115
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.0,3,352,0.58,0.31,0.27,53.41,13.54,-16.42,3.61,-2.92,0.091
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.0,5,352,0.81,0.51,0.29,57.39,16.69,-19.88,4.23,-3.84,0.077
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.5,1,268,0.37,0.1,0.26,56.34,10.73,-10.96,2.19,-1.98,0.132
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.5,3,268,0.51,0.31,0.2,51.87,13.54,-16.42,3.74,-2.99,0.068
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.5,5,268,0.84,0.51,0.32,58.21,14.9,-19.88,4.31,-4.04,0.08
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.0,1,190,0.36,0.1,0.25,57.37,10.73,-10.96,2.2,-2.11,0.12
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.0,3,190,0.39,0.31,0.08,51.05,13.28,-16.42,3.94,-3.32,0.023
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.0,5,190,0.56,0.51,0.04,56.84,14.9,-19.88,4.43,-4.55,0.01
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.5,1,137,0.52,0.1,0.42,59.85,10.73,-10.96,2.38,-2.25,0.185
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.5,3,137,0.51,0.31,0.2,52.55,13.28,-16.42,4.03,-3.39,0.06
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.5,5,137,0.42,0.51,-0.09,54.74,14.9,-19.88,4.69,-4.74,-0.019
2020-2024,SOXX,Semiconductors,Expanded Addition,-3.0,1,95,0.61,0.1,0.51,60.0,10.73,-10.96,2.56,-2.3,0.221
2020-2024,SOXX,Semiconductors,Expanded Addition,-3.0,3,95,0.45,0.31,0.14,54.74,12.48,-16.42,3.94,-3.76,0.038
2020-2024,SOXX,Semiconductors,Expanded Addition,-3.0,5,95,0.45,0.51,-0.06,53.68,14.65,-19.88,5.03,-4.85,-0.012
2020-2024,IGV,Software,Expanded Addition,-1.0,1,283,0.08,0.08,0.01,56.18,9.77,-9.33,1.59,-1.85,0.003
2020-2024,IGV,Software,Expanded Addition,-1.0,3,283,0.32,0.23,0.09,55.83,10.5,-12.18,2.76,-2.83,0.03
2020-2024,IGV,Software,Expanded Addition,-1.0,5,283,0.6,0.38,0.21,56.18,12.43,-19.0,3.73,-3.49,0.062
2020-2024,IGV,Software,Expanded Addition,-1.5,1,200,0.03,0.08,-0.05,55.5,9.77,-9.33,1.65,-1.99,-0.024
2020-2024,IGV,Software,Expanded Addition,-1.5,3,200,0.28,0.23,0.05,55.0,10.5,-12.18,2.88,-2.94,0.015
2020-2024,IGV,Software,Expanded Addition,-1.5,5,200,0.72,0.38,0.33,56.5,12.43,-19.0,4.15,-3.79,0.088
2020-2024,IGV,Software,Expanded Addition,-2.0,1,146,0.1,0.08,0.03,58.22,9.77,-9.33,1.75,-2.19,0.012
2020-2024,IGV,Software,Expanded Addition,-2.0,3,146,0.2,0.23,-0.03,53.42,10.5,-12.18,2.96,-2.97,-0.011
2020-2024,IGV,Software,Expanded Addition,-2.0,5,146,0.7,0.38,0.31,57.53,12.43,-19.0,4.19,-4.03,0.078
2020-2024,IGV,Software,Expanded Addition,-2.5,1,104,0.09,0.08,0.01,59.62,9.77,-9.33,1.71,-2.3,0.005
2020-2024,IGV,Software,Expanded Addition,-2.5,3,104,0.17,0.23,-0.06,54.81,9.27,-12.18,3.08,-3.35,-0.017
2020-2024,IGV,Software,Expanded Addition,-2.5,5,104,0.83,0.38,0.44,59.62,12.43,-19.0,4.27,-4.26,0.104
2020-2024,IGV,Software,Expanded Addition,-3.0,1,69,0.16,0.08,0.08,62.32,9.77,-9.33,1.87,-2.67,0.03
2020-2024,IGV,Software,Expanded Addition,-3.0,3,69,-0.08,0.23,-0.31,53.62,8.82,-12.18,2.96,-3.59,-0.085
2020-2024,IGV,Software,Expanded Addition,-3.0,5,69,0.57,0.38,0.18,57.97,12.43,-12.27,4.15,-4.38,0.042
2020-2024,TLT,Bonds,Expanded Addition,-1.0,1,198,0.13,-0.02,0.15,54.04,6.48,-5.64,1.06,-0.96,0.159
2020-2024,TLT,Bonds,Expanded Addition,-1.0,3,198,0.35,-0.06,0.41,53.03,15.0,-6.23,1.85,-1.35,0.303
2020-2024,TLT,Bonds,Expanded Addition,-1.0,5,198,0.33,-0.1,0.43,54.55,12.6,-7.78,1.99,-1.67,0.26
2020-2024,TLT,Bonds,Expanded Addition,-1.5,1,98,0.16,-0.02,0.18,54.08,6.48,-5.64,1.17,-1.03,0.172
2020-2024,TLT,Bonds,Expanded Addition,-1.5,3,98,0.18,-0.06,0.25,51.02,15.0,-6.23,1.67,-1.36,0.181
2020-2024,TLT,Bonds,Expanded Addition,-1.5,5,98,-0.0,-0.1,0.1,48.98,12.6,-7.78,1.8,-1.73,0.06
2020-2024,TLT,Bonds,Expanded Addition,-2.0,1,41,0.33,-0.02,0.35,58.54,6.48,-5.64,1.46,-1.25,0.282
2020-2024,TLT,Bonds,Expanded Addition,-2.0,3,41,0.42,-0.06,0.49,56.1,15.0,-6.23,2.16,-1.79,0.272
2020-2024,TLT,Bonds,Expanded Addition,-2.0,5,41,0.07,-0.1,0.18,46.34,12.6,-7.78,2.31,-1.86,0.096
2020-2024,TLT,Bonds,Expanded Addition,-2.5,1,15,0.15,-0.02,0.17,66.67,3.35,-5.64,1.48,-2.49,0.069
2020-2024,TLT,Bonds,Expanded Addition,-2.5,3,15,1.46,-0.06,1.52,66.67,15.0,-5.27,3.49,-2.61,0.581
2020-2024,TLT,Bonds,Expanded Addition,-2.5,5,15,0.16,-0.1,0.27,40.0,12.6,-7.78,4.2,-2.53,0.105
2020-2024,TLT,Bonds,Expanded Addition,-3.0,1,6,-1.04,-0.02,-1.02,50.0,2.72,-5.64,1.45,-3.53,-0.288
2020-2024,TLT,Bonds,Expanded Addition,-3.0,3,6,3.67,-0.06,3.73,83.33,15.0,-5.27,5.46,-5.27,0.707
2020-2024,TLT,Bonds,Expanded Addition,-3.0,5,6,0.9,-0.1,1.0,33.33,12.6,-7.78,9.55,-3.43,0.293
2020-2024,HYG,Bonds,Expanded Addition,-1.0,1,51,-0.08,0.01,-0.09,54.9,4.12,-4.3,0.93,-1.3,-0.069
2020-2024,HYG,Bonds,Expanded Addition,-1.0,3,51,-0.11,0.04,-0.15,50.98,11.95,-6.42,1.76,-2.06,-0.074
2020-2024,HYG,Bonds,Expanded Addition,-1.0,5,51,-0.03,0.07,-0.1,49.02,13.2,-9.78,2.9,-2.86,-0.036
2020-2024,HYG,Bonds,Expanded Addition,-1.5,1,22,0.04,0.01,0.02,59.09,4.12,-4.0,1.32,-1.82,0.014
2020-2024,HYG,Bonds,Expanded Addition,-1.5,3,22,-0.08,0.04,-0.13,45.45,11.95,-6.42,2.83,-2.52,-0.05
2020-2024,HYG,Bonds,Expanded Addition,-1.5,5,22,0.55,0.07,0.48,54.55,13.2,-9.71,4.52,-4.21,0.115
2020-2024,HYG,Bonds,Expanded Addition,-2.0,1,12,0.04,0.01,0.03,66.67,3.14,-4.0,1.33,-2.52,0.012
2020-2024,HYG,Bonds,Expanded Addition,-2.0,3,12,-0.79,0.04,-0.83,50.0,5.33,-6.42,2.5,-4.08,-0.204
2020-2024,HYG,Bonds,Expanded Addition,-2.0,5,12,0.08,0.07,0.01,58.33,10.44,-9.71,5.13,-6.98,0.002
2020-2024,HYG,Bonds,Expanded Addition,-2.5,1,7,0.83,0.01,0.81,85.71,3.14,-2.25,1.34,-2.25,0.362
2020-2024,HYG,Bonds,Expanded Addition,-2.5,3,7,-1.93,0.04,-1.97,42.86,2.39,-5.97,1.46,-4.48,-0.441
2020-2024,HYG,Bonds,Expanded Addition,-2.5,5,7,-2.43,0.07,-2.5,57.14,3.65,-9.28,1.85,-8.13,-0.307
2020-2024,HYG,Bonds,Expanded Addition,-3.0,1,5,0.81,0.01,0.79,80.0,3.14,-2.25,1.57,-2.25,0.352
2020-2024,HYG,Bonds,Expanded Addition,-3.0,3,5,-3.39,0.04,-3.43,20.0,0.98,-5.97,0.98,-4.48,-0.765
2020-2024,HYG,Bonds,Expanded Addition,-3.0,5,5,-4.5,0.07,-4.57,40.0,1.23,-9.28,0.94,-8.13,-0.562
2020-2024,LQD,Bonds,Expanded Addition,-1.0,1,59,-0.23,0.0,-0.23,45.76,4.33,-5.0,0.86,-1.15,-0.199
2020-2024,LQD,Bonds,Expanded Addition,-1.0,3,59,-0.37,0.0,-0.37,45.76,11.36,-13.4,1.44,-1.89,-0.196
2020-2024,LQD,Bonds,Expanded Addition,-1.0,5,59,-0.28,0.01,-0.28,45.76,16.78,-10.93,2.11,-2.29,-0.124
2020-2024,LQD,Bonds,Expanded Addition,-1.5,1,15,-0.86,0.0,-0.86,40.0,4.33,-5.0,1.81,-2.63,-0.326
2020-2024,LQD,Bonds,Expanded Addition,-1.5,3,15,-0.59,0.0,-0.6,40.0,11.36,-9.98,3.27,-3.17,-0.188
2020-2024,LQD,Bonds,Expanded Addition,-1.5,5,15,-0.59,0.01,-0.59,46.67,16.78,-10.93,4.81,-5.31,-0.112
2020-2024,LQD,Bonds,Expanded Addition,-2.0,1,8,-1.85,0.0,-1.86,25.0,4.33,-5.0,2.97,-3.46,-0.536
2020-2024,LQD,Bonds,Expanded Addition,-2.0,3,8,-1.17,0.0,-1.17,37.5,11.36,-9.98,5.41,-5.11,-0.229
2020-2024,LQD,Bonds,Expanded Addition,-2.0,5,8,-1.21,0.01,-1.22,50.0,16.78,-10.93,7.15,-9.57,-0.127
2020-2024,LQD,Bonds,Expanded Addition,-2.5,1,5,-1.75,0.0,-1.76,40.0,4.33,-5.0,2.97,-4.91,-0.358
2020-2024,LQD,Bonds,Expanded Addition,-2.5,3,5,0.68,0.0,0.68,40.0,11.36,-8.24,7.54,-3.89,0.175
2020-2024,LQD,Bonds,Expanded Addition,-2.5,5,5,1.31,0.01,1.3,60.0,16.78,-10.93,9.42,-10.85,0.12
2020-2024,LQD,Bonds,Expanded Addition,-3.0,1,5,-1.75,0.0,-1.76,40.0,4.33,-5.0,2.97,-4.91,-0.358
2020-2024,LQD,Bonds,Expanded Addition,-3.0,3,5,0.68,0.0,0.68,40.0,11.36,-8.24,7.54,-3.89,0.175
2020-2024,LQD,Bonds,Expanded Addition,-3.0,5,5,1.31,0.01,1.3,60.0,16.78,-10.93,9.42,-10.85,0.12
2020-2024,GLD,Commodities,Expanded Addition,-1.0,1,139,-0.02,0.05,-0.07,50.36,2.13,-3.07,0.71,-0.76,-0.089
2020-2024,GLD,Commodities,Expanded Addition,-1.0,3,139,0.21,0.14,0.08,56.83,11.13,-7.25,1.48,-1.45,0.055
2020-2024,GLD,Commodities,Expanded Addition,-1.0,5,139,0.47,0.22,0.24,61.15,11.01,-7.07,1.9,-1.8,0.135
2020-2024,GLD,Commodities,Expanded Addition,-1.5,1,77,-0.13,0.05,-0.17,51.95,1.7,-3.07,0.62,-0.93,-0.185
2020-2024,GLD,Commodities,Expanded Addition,-1.5,3,77,0.11,0.14,-0.03,55.84,11.13,-7.25,1.5,-1.66,-0.018
2020-2024,GLD,Commodities,Expanded Addition,-1.5,5,77,0.26,0.22,0.04,54.55,11.01,-7.07,2.08,-1.91,0.021
2020-2024,GLD,Commodities,Expanded Addition,-2.0,1,29,-0.25,0.05,-0.3,41.38,1.61,-3.05,0.68,-0.92,-0.328
2020-2024,GLD,Commodities,Expanded Addition,-2.0,3,29,-0.13,0.14,-0.26,55.17,3.9,-7.25,1.41,-2.02,-0.129
2020-2024,GLD,Commodities,Expanded Addition,-2.0,5,29,-0.29,0.22,-0.52,48.28,6.18,-7.07,2.03,-2.46,-0.21
2020-2024,GLD,Commodities,Expanded Addition,-2.5,1,14,-0.05,0.05,-0.09,57.14,1.61,-3.05,0.69,-1.04,-0.09
2020-2024,GLD,Commodities,Expanded Addition,-2.5,3,14,0.35,0.14,0.22,64.29,3.9,-2.86,1.51,-1.74,0.124
2020-2024,GLD,Commodities,Expanded Addition,-2.5,5,14,0.32,0.22,0.1,64.29,6.18,-6.6,2.34,-3.3,0.03
2020-2024,GLD,Commodities,Expanded Addition,-3.0,1,11,-0.03,0.05,-0.08,54.55,1.61,-3.05,0.84,-1.08,-0.074
2020-2024,GLD,Commodities,Expanded Addition,-3.0,3,11,0.35,0.14,0.22,63.64,3.9,-2.86,1.53,-1.7,0.129
2020-2024,GLD,Commodities,Expanded Addition,-3.0,5,11,0.6,0.22,0.38,63.64,6.18,-6.6,2.86,-3.34,0.114
2020-2024,SLV,Commodities,Expanded Addition,-1.0,1,310,-0.04,0.06,-0.09,50.97,5.26,-12.34,1.32,-1.44,-0.065
2020-2024,SLV,Commodities,Expanded Addition,-1.0,3,310,-0.08,0.17,-0.25,51.29,11.44,-18.74,2.54,-2.87,-0.087
2020-2024,SLV,Commodities,Expanded Addition,-1.0,5,310,0.08,0.29,-0.21,52.9,23.53,-24.43,3.4,-3.7,-0.057
2020-2024,SLV,Commodities,Expanded Addition,-1.5,1,213,-0.12,0.06,-0.18,47.42,5.0,-12.34,1.28,-1.38,-0.128
2020-2024,SLV,Commodities,Expanded Addition,-1.5,3,213,-0.05,0.17,-0.22,51.17,11.44,-18.74,2.73,-2.95,-0.074
2020-2024,SLV,Commodities,Expanded Addition,-1.5,5,213,0.1,0.29,-0.19,54.46,23.53,-24.43,3.49,-3.94,-0.048
2020-2024,SLV,Commodities,Expanded Addition,-2.0,1,141,-0.1,0.06,-0.16,48.23,4.23,-12.34,1.3,-1.41,-0.112
2020-2024,SLV,Commodities,Expanded Addition,-2.0,3,141,0.04,0.17,-0.13,53.9,11.44,-18.74,2.77,-3.15,-0.042
2020-2024,SLV,Commodities,Expanded Addition,-2.0,5,141,0.66,0.29,0.37,59.57,23.53,-22.57,3.73,-3.86,0.095
2020-2024,SLV,Commodities,Expanded Addition,-2.5,1,93,-0.08,0.06,-0.14,48.39,4.23,-12.34,1.36,-1.43,-0.095
2020-2024,SLV,Commodities,Expanded Addition,-2.5,3,93,0.17,0.17,-0.01,58.06,11.44,-18.74,2.77,-3.44,-0.002
2020-2024,SLV,Commodities,Expanded Addition,-2.5,5,93,0.92,0.29,0.63,61.29,23.53,-22.57,4.0,-3.95,0.16
2020-2024,SLV,Commodities,Expanded Addition,-3.0,1,63,-0.16,0.06,-0.22,47.62,4.23,-12.34,1.39,-1.57,-0.139
2020-2024,SLV,Commodities,Expanded Addition,-3.0,3,63,0.43,0.17,0.26,60.32,11.44,-18.74,3.06,-3.57,0.072
2020-2024,SLV,Commodities,Expanded Addition,-3.0,5,63,1.12,0.29,0.83,61.9,23.53,-22.57,4.1,-3.73,0.222
2020-2024,USO,Commodities,Expanded Addition,-1.0,1,361,-0.21,0.01,-0.22,51.8,14.01,-25.32,2.03,-2.61,-0.086
2020-2024,USO,Commodities,Expanded Addition,-1.0,3,361,-0.1,0.05,-0.15,56.23,20.8,-40.38,3.48,-4.71,-0.032
2020-2024,USO,Commodities,Expanded Addition,-1.0,5,361,-0.2,0.09,-0.28,57.06,31.99,-43.34,4.59,-6.56,-0.043
2020-2024,USO,Commodities,Expanded Addition,-1.5,1,261,-0.45,0.01,-0.47,48.28,14.01,-25.32,2.14,-2.87,-0.163
2020-2024,USO,Commodities,Expanded Addition,-1.5,3,261,-0.43,0.05,-0.48,54.02,20.8,-40.38,3.57,-5.14,-0.094
2020-2024,USO,Commodities,Expanded Addition,-1.5,5,261,-0.32,0.09,-0.41,57.85,31.99,-43.34,4.87,-7.45,-0.055
2020-2024,USO,Commodities,Expanded Addition,-2.0,1,206,-0.62,0.01,-0.63,46.6,14.01,-25.32,2.25,-3.12,-0.203
2020-2024,USO,Commodities,Expanded Addition,-2.0,3,206,-0.56,0.05,-0.61,52.43,20.8,-40.38,3.63,-5.18,-0.118
2020-2024,USO,Commodities,Expanded Addition,-2.0,5,206,-0.51,0.09,-0.6,57.77,31.99,-43.34,5.0,-8.06,-0.075
2020-2024,USO,Commodities,Expanded Addition,-2.5,1,149,-0.92,0.01,-0.94,41.61,14.01,-25.32,2.49,-3.35,-0.28
2020-2024,USO,Commodities,Expanded Addition,-2.5,3,149,-1.11,0.05,-1.16,48.99,20.8,-40.38,3.74,-5.76,-0.201
2020-2024,USO,Commodities,Expanded Addition,-2.5,5,149,-1.05,0.09,-1.14,55.7,31.99,-43.34,5.37,-9.13,-0.125
2020-2024,USO,Commodities,Expanded Addition,-3.0,1,105,-1.08,0.01,-1.09,43.81,14.01,-25.32,2.48,-3.84,-0.284
2020-2024,USO,Commodities,Expanded Addition,-3.0,3,105,-1.43,0.05,-1.48,50.48,20.8,-40.38,3.73,-6.68,-0.221
2020-2024,USO,Commodities,Expanded Addition,-3.0,5,105,-1.87,0.09,-1.95,52.38,31.99,-43.34,5.62,-10.1,-0.194
