Period,Transaction cost (%),Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2010-2014,0.0,XLY,Sector,Expanded Addition,-2.5,5,27,2.44,0.41,2.04,77.78,11.05,-6.09,3.72,-2.01,1.013
2010-2014,0.0,XLF,Sector,Core,-3.0,5,29,2.13,0.27,1.86,65.52,10.28,-5.99,4.26,-1.91,0.969
2010-2014,0.0,XLF,Sector,Core,-3.0,3,29,1.56,0.17,1.39,65.52,8.78,-4.31,3.2,-1.54,0.903
2010-2014,0.0,XLP,Sector,Expanded Addition,-1.5,5,31,1.27,0.31,0.96,74.19,6.63,-2.34,2.11,-1.16,0.826
2010-2014,0.0,DIA,Broad Index,Core,-2.0,5,31,1.79,0.28,1.51,74.19,7.38,-5.14,3.19,-2.25,0.668
2010-2014,0.0,XLI,Sector,Expanded Addition,-2.5,5,31,2.1,0.35,1.75,70.97,10.56,-6.86,4.03,-2.63,0.665
2010-2014,0.0,XLE,Sector,Core,-3.0,5,30,2.51,0.2,2.31,83.33,12.63,-5.06,3.73,-3.61,0.641
2010-2014,0.0,HYG,Bonds,Expanded Addition,-1.0,5,41,0.86,0.15,0.71,60.98,5.11,-4.33,2.15,-1.15,0.622
2010-2014,0.0,IWM,Broad Index,Core,-3.0,5,28,2.05,0.32,1.73,67.86,12.1,-9.5,4.48,-3.08,0.562
2010-2014,0.0,SPY,Broad Index,Core,-2.0,5,38,1.28,0.3,0.97,63.16,8.78,-6.38,3.14,-1.92,0.508
2010-2014,0.0,IGV,Software,Expanded Addition,-2.5,5,35,1.72,0.32,1.4,68.57,11.06,-7.84,3.83,-2.88,0.487
2010-2014,0.0,DIA,Broad Index,Core,-2.0,3,31,0.84,0.17,0.68,64.52,7.13,-3.55,2.08,-1.41,0.478
2010-2014,0.0,XLY,Sector,Expanded Addition,-2.5,3,27,1.3,0.25,1.05,70.37,7.51,-6.67,2.78,-2.24,0.47
2010-2014,0.0,TLT,Bonds,Expanded Addition,-1.5,5,63,0.93,0.22,0.71,65.08,10.49,-3.03,2.25,-1.52,0.468
2010-2014,0.0,DIA,Broad Index,Core,-1.5,5,58,1.04,0.28,0.76,60.34,7.38,-5.14,2.82,-1.67,0.458
2010-2014,0.0,XLB,Sector,Expanded Addition,-2.5,5,45,1.66,0.23,1.43,66.67,13.67,-8.01,4.07,-3.16,0.453
2010-2014,0.0,XLF,Sector,Core,-2.5,5,43,1.33,0.27,1.06,55.81,10.28,-8.71,4.27,-2.38,0.445
2010-2014,0.0,XLU,Sector,Expanded Addition,-1.5,5,51,1.05,0.27,0.77,64.71,8.54,-4.62,2.4,-1.74,0.445
2010-2014,0.0,XLP,Sector,Expanded Addition,-1.5,3,31,0.64,0.19,0.45,64.52,5.68,-2.49,1.58,-1.07,0.424
2010-2014,0.0,TLT,Bonds,Expanded Addition,-1.5,3,63,0.62,0.13,0.49,58.73,8.58,-3.14,1.86,-1.15,0.422
2010-2014,0.0,QQQ,Broad Index,Core,-2.5,5,26,1.4,0.38,1.02,69.23,9.39,-5.76,3.1,-2.45,0.416
2010-2014,0.0,IWM,Broad Index,Core,-2.5,5,44,1.51,0.32,1.19,65.91,12.1,-9.5,3.85,-3.02,0.393
2010-2014,0.0,XLE,Sector,Core,-3.0,3,30,1.01,0.12,0.88,56.67,9.54,-5.65,3.55,-2.32,0.382
2010-2014,0.0,XLP,Sector,Expanded Addition,-1.0,5,82,0.75,0.31,0.44,62.2,6.63,-2.86,1.91,-1.22,0.36
2010-2014,0.0,IWM,Broad Index,Core,-2.0,5,67,1.33,0.32,1.01,64.18,12.1,-9.5,3.65,-2.83,0.356
2010-2014,0.0,XLK,Sector,Core,-2.0,5,44,1.14,0.3,0.84,61.36,8.58,-7.01,3.35,-2.37,0.355
2010-2014,0.0,QQQ,Broad Index,Core,-2.0,3,45,0.82,0.23,0.59,60.0,7.07,-6.24,2.49,-1.69,0.35
2010-2014,0.0,XLV,Sector,Core,-2.0,1,28,0.36,0.07,0.28,64.29,4.57,-2.02,1.0,-0.81,0.348
2010-2014,0.0,IGV,Software,Expanded Addition,-2.5,3,35,1.08,0.19,0.89,68.57,8.56,-6.27,2.76,-2.58,0.345
2010-2014,0.0,XLK,Sector,Core,-2.0,3,44,0.78,0.18,0.6,59.09,6.62,-5.56,2.53,-1.75,0.344
2010-2014,0.0,IWM,Broad Index,Core,-2.0,3,67,0.84,0.2,0.64,55.22,10.08,-7.89,3.16,-2.02,0.319
2010-2014,0.0,QQQ,Broad Index,Core,-2.0,5,45,1.03,0.38,0.66,60.0,9.39,-5.76,3.12,-2.09,0.313
2010-2014,0.0,SOXX,Semiconductors,Expanded Addition,-3.0,5,36,1.22,0.33,0.89,58.33,12.17,-8.19,4.13,-2.86,0.311
2010-2014,0.0,QQQ,Broad Index,Core,-2.5,3,26,0.97,0.23,0.74,69.23,6.88,-6.24,2.49,-2.45,0.304
2010-2014,0.0,XLB,Sector,Expanded Addition,-2.0,5,74,1.14,0.23,0.91,63.51,13.67,-8.01,3.56,-3.07,0.296
2010-2014,0.0,XLU,Sector,Expanded Addition,-1.5,3,51,0.64,0.16,0.47,66.67,7.12,-3.96,1.64,-1.63,0.291
2010-2014,0.0,XLV,Sector,Core,-2.0,5,28,0.85,0.37,0.48,64.29,7.38,-4.97,2.25,-1.67,0.288
2010-2014,0.0,XLB,Sector,Expanded Addition,-2.5,3,45,0.89,0.14,0.75,62.22,10.76,-6.51,3.04,-2.65,0.282
2010-2014,0.0,XLP,Sector,Expanded Addition,-1.5,1,31,0.31,0.06,0.25,67.74,2.96,-3.02,0.88,-0.89,0.281
2010-2014,0.0,XLB,Sector,Expanded Addition,-3.0,5,29,1.15,0.23,0.92,65.52,10.0,-8.01,3.48,-3.28,0.28
2010-2014,0.0,XLE,Sector,Core,-2.5,5,43,1.27,0.2,1.07,69.77,12.63,-11.8,3.5,-3.89,0.274
2010-2014,0.0,XLF,Sector,Core,-2.5,1,43,0.49,0.06,0.43,58.14,7.73,-4.74,2.02,-1.65,0.262
2010-2014,0.0,XLI,Sector,Expanded Addition,-2.0,5,58,1.03,0.35,0.67,58.62,10.56,-7.8,3.61,-2.64,0.255
2010-2014,0.0,IWM,Broad Index,Core,-1.5,5,129,0.99,0.32,0.67,62.02,12.1,-9.5,3.26,-2.71,0.246
2010-2014,0.0,TLT,Bonds,Expanded Addition,-1.0,5,163,0.57,0.22,0.35,60.74,10.49,-4.96,1.86,-1.43,0.243
2010-2014,0.0,USO,Commodities,Expanded Addition,-2.0,1,125,0.3,-0.04,0.34,56.0,7.9,-3.97,1.63,-1.39,0.243
2010-2014,0.0,XLF,Sector,Core,-2.5,3,43,0.84,0.17,0.68,58.14,8.78,-7.96,3.46,-2.79,0.242
2010-2014,0.0,SOXX,Semiconductors,Expanded Addition,-3.0,3,36,0.79,0.2,0.59,61.11,8.59,-5.82,2.89,-2.51,0.235
2010-2014,0.0,DIA,Broad Index,Core,-1.5,3,58,0.51,0.17,0.34,58.62,7.13,-5.1,1.93,-1.5,0.229
2010-2014,0.0,XLY,Sector,Expanded Addition,-2.0,5,44,1.11,0.41,0.7,63.64,11.05,-7.58,3.48,-3.06,0.229
2010-2014,0.0,HYG,Bonds,Expanded Addition,-1.0,3,41,0.42,0.09,0.33,60.98,3.15,-3.83,1.63,-1.47,0.227
2010-2014,0.0,XLE,Sector,Core,-3.0,1,30,0.39,0.04,0.35,56.67,5.19,-5.64,1.9,-1.58,0.222
2010-2014,0.0,IGV,Software,Expanded Addition,-2.0,5,69,1.0,0.32,0.68,62.32,11.06,-7.84,3.53,-3.19,0.212
2010-2014,0.0,XLB,Sector,Expanded Addition,-2.0,3,74,0.65,0.14,0.5,59.46,10.76,-6.51,2.74,-2.43,0.207
2010-2014,0.0,TLT,Bonds,Expanded Addition,-1.5,1,63,0.23,0.04,0.19,61.9,3.16,-3.39,0.97,-0.97,0.194
2010-2014,0.0,SPY,Broad Index,Core,-2.0,3,38,0.53,0.18,0.35,60.53,7.42,-5.33,2.08,-1.84,0.19
2010-2014,0.0,XLB,Sector,Expanded Addition,-1.5,5,134,0.77,0.23,0.54,59.7,13.67,-8.41,3.25,-2.9,0.186
2010-2014,0.0,XLB,Sector,Expanded Addition,-1.5,1,134,0.24,0.05,0.19,55.22,6.16,-5.61,1.29,-1.05,0.185
2010-2014,0.0,XLE,Sector,Core,-2.0,5,72,0.77,0.2,0.57,61.11,12.63,-11.8,3.26,-3.14,0.182
2010-2014,0.0,XLY,Sector,Expanded Addition,-1.5,3,94,0.6,0.25,0.35,59.57,7.51,-6.67,2.33,-1.95,0.181
2010-2014,0.0,XLY,Sector,Expanded Addition,-2.0,3,44,0.62,0.25,0.37,61.36,7.51,-6.67,2.3,-2.06,0.179
2010-2014,0.0,XLF,Sector,Core,-1.0,5,195,0.7,0.27,0.43,59.49,11.02,-9.58,2.81,-2.43,0.177
2010-2014,0.0,GLD,Commodities,Expanded Addition,-2.0,5,56,0.5,0.04,0.46,64.29,5.18,-8.22,2.24,-2.62,0.176
2010-2014,0.0,XLY,Sector,Expanded Addition,-1.0,5,157,0.79,0.41,0.38,61.78,11.05,-7.58,2.64,-2.21,0.174
2010-2014,0.0,XLI,Sector,Expanded Addition,-1.5,3,96,0.57,0.21,0.36,56.25,8.4,-6.65,2.6,-2.05,0.173
2010-2014,0.0,SPY,Broad Index,Core,-1.0,3,139,0.46,0.18,0.27,58.99,7.42,-5.33,1.92,-1.65,0.166
2010-2014,0.0,XLE,Sector,Core,-1.5,5,137,0.71,0.2,0.51,60.58,12.63,-11.8,3.23,-3.16,0.162
2010-2014,0.0,SLV,Commodities,Expanded Addition,-2.0,3,154,0.52,0.03,0.49,61.04,11.27,-21.27,2.77,-3.05,0.161
2010-2014,0.0,SPY,Broad Index,Core,-1.5,1,73,0.21,0.06,0.15,60.27,4.65,-3.23,0.98,-0.95,0.159
2010-2014,0.0,XLF,Sector,Core,-2.0,1,80,0.3,0.06,0.24,58.75,7.73,-4.74,1.59,-1.53,0.159
2010-2014,0.0,XLB,Sector,Expanded Addition,-1.5,3,134,0.48,0.14,0.34,56.72,10.76,-7.06,2.51,-2.18,0.156
2010-2014,0.0,SPY,Broad Index,Core,-1.0,5,139,0.65,0.3,0.35,61.15,8.78,-7.29,2.49,-2.25,0.154
2010-2014,0.0,XLY,Sector,Expanded Addition,-1.5,5,94,0.81,0.41,0.4,61.7,11.05,-7.58,2.95,-2.63,0.154
2010-2014,0.0,XLI,Sector,Expanded Addition,-1.0,3,187,0.49,0.21,0.28,56.68,8.4,-7.29,2.3,-1.87,0.149
2010-2014,0.0,SOXX,Semiconductors,Expanded Addition,-1.0,5,248,0.75,0.33,0.42,59.68,12.17,-8.19,3.16,-2.82,0.148
2010-2014,0.0,XLF,Sector,Core,-1.0,1,195,0.26,0.06,0.21,60.0,7.73,-9.46,1.37,-1.41,0.146
2010-2014,0.0,SLV,Commodities,Expanded Addition,-3.0,5,77,0.6,0.04,0.56,55.84,9.45,-14.2,4.04,-3.87,0.144
2010-2014,0.0,XLF,Sector,Core,-2.0,5,80,0.7,0.27,0.43,56.25,10.28,-8.71,3.57,-2.99,0.143
2010-2014,0.0,XLI,Sector,Expanded Addition,-1.0,5,187,0.72,0.35,0.37,61.5,10.56,-8.95,2.78,-2.58,0.142
2010-2014,0.0,XLY,Sector,Expanded Addition,-1.0,3,157,0.48,0.25,0.24,57.96,7.51,-6.67,2.05,-1.69,0.139
2010-2014,0.0,XLU,Sector,Expanded Addition,-1.0,5,117,0.53,0.27,0.26,62.39,8.54,-4.62,1.93,-1.89,0.137
2010-2014,0.0,IWM,Broad Index,Core,-1.0,5,231,0.66,0.32,0.33,58.87,12.1,-9.5,2.84,-2.47,0.136
2010-2014,0.0,QQQ,Broad Index,Core,-1.0,5,163,0.67,0.38,0.29,61.35,9.39,-7.78,2.43,-2.18,0.133
2010-2014,0.0,XLI,Sector,Expanded Addition,-1.5,5,96,0.73,0.35,0.38,59.38,10.56,-8.95,3.2,-2.88,0.131
2010-2014,0.0,XLF,Sector,Core,-1.5,1,126,0.26,0.06,0.2,58.73,7.73,-9.46,1.54,-1.56,0.13
2010-2014,0.0,SLV,Commodities,Expanded Addition,-1.5,3,211,0.4,0.03,0.37,56.87,11.27,-21.27,2.78,-2.82,0.13
2010-2014,0.0,IGV,Software,Expanded Addition,-2.0,3,69,0.51,0.19,0.32,59.42,8.56,-6.27,2.55,-2.47,0.129
2010-2014,0.0,IWM,Broad Index,Core,-1.5,3,129,0.5,0.2,0.3,56.59,10.08,-7.89,2.71,-2.38,0.127
2010-2014,0.0,SMH,Semiconductors,Expanded Addition,-1.0,5,230,0.65,0.33,0.32,60.0,8.98,-8.31,2.75,-2.5,0.126
2010-2014,0.0,SLV,Commodities,Expanded Addition,-2.5,5,110,0.51,0.04,0.47,56.36,11.75,-14.2,3.71,-3.71,0.125
2010-2014,0.0,SOXX,Semiconductors,Expanded Addition,-1.5,5,161,0.67,0.33,0.34,57.14,12.17,-8.19,3.36,-2.91,0.118
2010-2014,0.0,DIA,Broad Index,Core,-1.0,3,115,0.35,0.17,0.18,56.52,7.13,-5.1,1.84,-1.59,0.116
2010-2014,0.0,DIA,Broad Index,Core,-1.0,5,115,0.52,0.28,0.24,57.39,7.38,-6.47,2.47,-2.1,0.116
2010-2014,0.0,XLP,Sector,Expanded Addition,-1.0,1,82,0.14,0.06,0.08,59.76,2.96,-3.02,0.7,-0.71,0.114
2010-2014,0.0,DIA,Broad Index,Core,-1.5,1,58,0.16,0.06,0.1,56.9,3.98,-3.5,0.99,-0.93,0.112
2010-2014,0.0,GLD,Commodities,Expanded Addition,-1.5,1,91,0.15,0.01,0.14,61.54,3.99,-8.78,1.02,-1.25,0.111
2010-2014,0.0,XLF,Sector,Core,-1.0,3,195,0.4,0.17,0.24,56.92,8.78,-9.23,2.31,-2.15,0.11
2010-2014,0.0,SLV,Commodities,Expanded Addition,-2.5,3,110,0.37,0.03,0.34,60.0,11.27,-21.27,2.66,-3.14,0.109
2010-2014,0.0,IGV,Software,Expanded Addition,-1.5,5,138,0.63,0.32,0.31,60.87,11.06,-9.83,2.92,-2.94,0.105
2010-2014,0.0,XLB,Sector,Expanded Addition,-1.0,5,216,0.53,0.23,0.29,59.26,13.67,-9.71,2.92,-2.95,0.1
2010-2014,0.0,SLV,Commodities,Expanded Addition,-3.0,3,77,0.37,0.03,0.34,57.14,11.27,-21.27,3.14,-3.43,0.1
2010-2014,0.0,XLE,Sector,Core,-1.5,3,137,0.37,0.12,0.25,55.47,9.54,-10.13,2.71,-2.54,0.098
2010-2014,0.0,XLF,Sector,Core,-1.5,5,126,0.55,0.27,0.27,57.14,10.28,-9.58,3.07,-2.81,0.097
2010-2014,0.0,SOXX,Semiconductors,Expanded Addition,-2.0,5,102,0.63,0.33,0.3,56.86,12.17,-8.19,3.43,-3.07,0.097
2010-2014,0.0,GLD,Commodities,Expanded Addition,-2.5,5,28,0.33,0.04,0.29,64.29,5.02,-6.71,2.2,-3.03,0.096
2010-2014,0.0,XLE,Sector,Core,-1.0,5,218,0.47,0.2,0.27,55.96,12.63,-11.8,3.09,-2.86,0.095
2010-2014,0.0,IGV,Software,Expanded Addition,-1.0,5,214,0.56,0.32,0.24,59.35,11.06,-9.83,2.69,-2.59,0.093
