Period,Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2015-2019,SPY,-1.0,1,104,0.12,0.05,0.07,60.58,5.05,-4.21,1.0,-1.23,0.058
2015-2019,SPY,-1.0,3,104,0.47,0.14,0.32,62.5,6.41,-8.19,1.87,-1.87,0.173
2015-2019,SPY,-1.0,5,104,0.64,0.24,0.4,66.35,6.76,-7.7,2.07,-2.17,0.184
2015-2019,SPY,-1.5,1,56,0.1,0.05,0.05,57.14,5.05,-4.21,1.24,-1.43,0.034
2015-2019,SPY,-1.5,3,56,0.73,0.14,0.58,64.29,5.72,-8.19,2.12,-1.77,0.329
2015-2019,SPY,-1.5,5,56,0.99,0.24,0.75,67.86,6.76,-7.7,2.39,-1.99,0.376
2015-2019,SPY,-2.0,1,30,0.21,0.05,0.16,66.67,5.05,-4.21,1.44,-2.26,0.071
2015-2019,SPY,-2.0,3,30,0.84,0.14,0.7,60.0,5.72,-8.19,2.61,-1.81,0.384
2015-2019,SPY,-2.0,5,30,1.45,0.24,1.21,70.0,6.76,-5.06,2.69,-1.45,0.832
2015-2019,SPY,-2.5,1,15,0.43,0.05,0.38,66.67,5.05,-4.21,1.6,-1.91,0.2
2015-2019,SPY,-2.5,3,15,1.36,0.14,1.21,66.67,5.72,-2.39,2.87,-1.67,0.729
2015-2019,SPY,-2.5,5,15,2.53,0.24,2.3,93.33,6.76,-1.77,2.84,-1.77,1.295
2015-2019,SPY,-3.0,1,9,-0.32,0.05,-0.37,44.44,1.97,-4.21,1.67,-1.91,-0.192
2015-2019,SPY,-3.0,3,9,0.58,0.14,0.43,44.44,5.16,-2.39,3.39,-1.67,0.261
2015-2019,SPY,-3.0,5,9,1.93,0.24,1.69,88.89,5.98,-1.77,2.39,-1.77,0.952
2015-2019,QQQ,-1.0,1,148,0.14,0.07,0.08,55.41,6.24,-4.37,1.2,-1.17,0.066
2015-2019,QQQ,-1.0,3,148,0.47,0.2,0.27,55.41,7.29,-8.4,2.14,-1.61,0.165
2015-2019,QQQ,-1.0,5,148,0.84,0.34,0.5,66.22,7.98,-8.59,2.36,-2.15,0.232
2015-2019,QQQ,-1.5,1,88,0.23,0.07,0.16,55.68,6.24,-4.37,1.34,-1.16,0.142
2015-2019,QQQ,-1.5,3,88,0.65,0.2,0.44,57.95,7.29,-8.4,2.47,-1.86,0.238
2015-2019,QQQ,-1.5,5,88,0.98,0.34,0.64,62.5,7.98,-8.59,2.82,-2.08,0.309
2015-2019,QQQ,-2.0,1,54,0.29,0.07,0.23,55.56,6.24,-4.37,1.56,-1.29,0.176
2015-2019,QQQ,-2.0,3,54,0.73,0.2,0.52,62.96,7.29,-8.4,2.61,-2.48,0.211
2015-2019,QQQ,-2.0,5,54,1.04,0.34,0.7,62.96,7.98,-8.59,2.92,-2.15,0.324
2015-2019,QQQ,-2.5,1,33,0.24,0.07,0.18,54.55,4.28,-4.37,1.74,-1.56,0.113
2015-2019,QQQ,-2.5,3,33,1.02,0.2,0.82,66.67,7.29,-8.4,2.52,-1.98,0.412
2015-2019,QQQ,-2.5,5,33,1.92,0.34,1.58,72.73,7.98,-2.57,3.03,-1.04,1.525
2015-2019,QQQ,-3.0,1,22,0.36,0.07,0.29,59.09,4.28,-3.85,1.78,-1.69,0.173
2015-2019,QQQ,-3.0,3,22,1.23,0.2,1.02,68.18,7.29,-2.95,2.61,-1.73,0.592
2015-2019,QQQ,-3.0,5,22,2.08,0.34,1.74,72.73,7.98,-2.57,3.17,-0.84,2.065
2015-2019,IWM,-1.0,1,166,-0.07,0.04,-0.11,50.6,4.81,-3.9,0.92,-1.08,-0.098
2015-2019,IWM,-1.0,3,166,0.06,0.11,-0.05,55.42,7.17,-7.43,1.65,-1.91,-0.028
2015-2019,IWM,-1.0,5,166,0.26,0.19,0.07,58.43,8.61,-8.4,2.21,-2.49,0.026
2015-2019,IWM,-1.5,1,87,0.04,0.04,0.01,52.87,4.81,-3.84,1.05,-1.09,0.005
2015-2019,IWM,-1.5,3,87,0.28,0.11,0.17,60.92,7.17,-6.06,1.8,-2.08,0.081
2015-2019,IWM,-1.5,5,87,0.41,0.19,0.22,60.92,8.61,-8.4,2.37,-2.64,0.084
2015-2019,IWM,-2.0,1,40,0.08,0.04,0.04,57.5,2.19,-3.28,1.04,-1.22,0.035
2015-2019,IWM,-2.0,3,40,0.12,0.11,0.01,60.0,5.79,-6.06,1.77,-2.34,0.004
2015-2019,IWM,-2.0,5,40,0.42,0.19,0.23,60.0,5.06,-8.13,2.26,-2.34,0.098
2015-2019,IWM,-2.5,1,24,0.05,0.04,0.01,58.33,2.17,-3.28,1.07,-1.38,0.01
