Period,Transaction cost (%),Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2020-2024,0.25,SPY,Broad Index,Core,-2.5,1,37,0.35,0.06,0.29,48.65,8.81,-9.82,2.44,-1.63,0.176
2020-2024,0.25,SPY,Broad Index,Core,-2.5,3,37,-0.52,0.18,-0.7,48.65,16.91,-12.83,3.11,-3.95,-0.178
2020-2024,0.25,SPY,Broad Index,Core,-2.5,5,37,-0.54,0.31,-0.85,45.95,17.11,-18.22,4.51,-4.83,-0.176
2020-2024,0.5,SPY,Broad Index,Core,-2.5,1,37,0.1,0.06,0.04,40.54,8.56,-10.07,2.67,-1.65,0.022
2020-2024,0.5,SPY,Broad Index,Core,-2.5,3,37,-0.77,0.18,-0.95,43.24,16.66,-13.08,3.24,-3.82,-0.249
2020-2024,0.5,SPY,Broad Index,Core,-2.5,5,37,-0.79,0.31,-1.1,40.54,16.86,-18.47,4.83,-4.62,-0.238
2020-2024,0.0,SPY,Broad Index,Core,-3.0,1,23,0.3,0.06,0.24,52.17,8.55,-9.57,2.29,-1.87,0.128
2020-2024,0.0,SPY,Broad Index,Core,-3.0,3,23,-1.03,0.18,-1.22,47.83,7.86,-12.58,3.21,-4.93,-0.247
2020-2024,0.0,SPY,Broad Index,Core,-3.0,5,23,-1.07,0.31,-1.38,47.83,11.33,-17.97,4.54,-6.2,-0.222
2020-2024,0.1,SPY,Broad Index,Core,-3.0,1,23,0.2,0.06,0.14,52.17,8.45,-9.67,2.19,-1.97,0.071
2020-2024,0.1,SPY,Broad Index,Core,-3.0,3,23,-1.13,0.18,-1.32,47.83,7.76,-12.68,3.11,-5.03,-0.262
2020-2024,0.1,SPY,Broad Index,Core,-3.0,5,23,-1.17,0.31,-1.48,47.83,11.23,-18.07,4.44,-6.3,-0.234
2020-2024,0.25,SPY,Broad Index,Core,-3.0,1,23,0.05,0.06,-0.01,39.13,8.3,-9.82,2.73,-1.67,-0.006
2020-2024,0.25,SPY,Broad Index,Core,-3.0,3,23,-1.28,0.18,-1.47,47.83,7.61,-12.83,2.96,-5.18,-0.284
2020-2024,0.25,SPY,Broad Index,Core,-3.0,5,23,-1.32,0.31,-1.63,47.83,11.08,-18.22,4.29,-6.45,-0.252
2020-2024,0.5,SPY,Broad Index,Core,-3.0,1,23,-0.2,0.06,-0.26,34.78,8.05,-10.07,2.81,-1.8,-0.145
2020-2024,0.5,SPY,Broad Index,Core,-3.0,3,23,-1.53,0.18,-1.72,43.48,7.36,-13.08,3.01,-5.03,-0.342
2020-2024,0.5,SPY,Broad Index,Core,-3.0,5,23,-1.57,0.31,-1.88,39.13,10.83,-18.47,4.94,-5.75,-0.326
2020-2024,0.0,QQQ,Broad Index,Core,-1.0,1,247,0.16,0.08,0.07,54.66,8.47,-9.17,1.47,-1.43,0.051
2020-2024,0.0,QQQ,Broad Index,Core,-1.0,3,247,0.34,0.25,0.09,55.47,9.38,-13.28,2.52,-2.43,0.036
2020-2024,0.0,QQQ,Broad Index,Core,-1.0,5,247,0.53,0.42,0.12,58.3,10.72,-16.2,3.16,-3.21,0.036
2020-2024,0.1,QQQ,Broad Index,Core,-1.0,1,247,0.06,0.08,-0.03,51.01,8.37,-9.27,1.47,-1.42,-0.019
2020-2024,0.1,QQQ,Broad Index,Core,-1.0,3,247,0.24,0.25,-0.01,53.85,9.28,-13.38,2.49,-2.44,-0.006
2020-2024,0.1,QQQ,Broad Index,Core,-1.0,5,247,0.43,0.42,0.02,56.28,10.62,-16.3,3.17,-3.16,0.005
2020-2024,0.25,QQQ,Broad Index,Core,-1.0,1,247,-0.09,0.08,-0.18,45.75,8.22,-9.42,1.48,-1.42,-0.124
2020-2024,0.25,QQQ,Broad Index,Core,-1.0,3,247,0.09,0.25,-0.16,50.61,9.13,-13.53,2.5,-2.42,-0.067
2020-2024,0.25,QQQ,Broad Index,Core,-1.0,5,247,0.28,0.42,-0.13,54.66,10.47,-16.45,3.12,-3.19,-0.042
2020-2024,0.5,QQQ,Broad Index,Core,-1.0,1,247,-0.34,0.08,-0.43,40.08,7.97,-9.67,1.42,-1.52,-0.28
2020-2024,0.5,QQQ,Broad Index,Core,-1.0,3,247,-0.16,0.25,-0.41,48.58,8.88,-13.78,2.34,-2.57,-0.161
2020-2024,0.5,QQQ,Broad Index,Core,-1.0,5,247,0.03,0.42,-0.38,51.82,10.22,-16.7,3.03,-3.25,-0.119
2020-2024,0.0,QQQ,Broad Index,Core,-1.5,1,158,0.26,0.08,0.18,57.59,8.47,-9.17,1.53,-1.46,0.123
2020-2024,0.0,QQQ,Broad Index,Core,-1.5,3,158,0.5,0.25,0.25,59.49,8.4,-13.28,2.65,-2.65,0.095
2020-2024,0.0,QQQ,Broad Index,Core,-1.5,5,158,0.62,0.42,0.2,58.23,10.17,-16.2,3.56,-3.47,0.059
2020-2024,0.1,QQQ,Broad Index,Core,-1.5,1,158,0.16,0.08,0.08,53.16,8.37,-9.27,1.55,-1.41,0.056
2020-2024,0.1,QQQ,Broad Index,Core,-1.5,3,158,0.4,0.25,0.15,57.59,8.3,-13.38,2.64,-2.63,0.058
2020-2024,0.1,QQQ,Broad Index,Core,-1.5,5,158,0.52,0.42,0.1,55.7,10.07,-16.3,3.62,-3.37,0.031
2020-2024,0.25,QQQ,Broad Index,Core,-1.5,1,158,0.01,0.08,-0.07,47.47,8.22,-9.42,1.58,-1.4,-0.051
2020-2024,0.25,QQQ,Broad Index,Core,-1.5,3,158,0.25,0.25,0.0,53.16,8.15,-13.53,2.7,-2.53,0.001
2020-2024,0.25,QQQ,Broad Index,Core,-1.5,5,158,0.37,0.42,-0.05,53.8,9.92,-16.45,3.6,-3.38,-0.013
2020-2024,0.5,QQQ,Broad Index,Core,-1.5,1,158,-0.24,0.08,-0.32,43.04,7.97,-9.67,1.47,-1.53,-0.21
2020-2024,0.5,QQQ,Broad Index,Core,-1.5,3,158,0.0,0.25,-0.25,51.27,7.9,-13.78,2.55,-2.67,-0.093
2020-2024,0.5,QQQ,Broad Index,Core,-1.5,5,158,0.12,0.42,-0.3,51.9,9.67,-16.7,3.47,-3.49,-0.085
2020-2024,0.0,QQQ,Broad Index,Core,-2.0,1,105,0.26,0.08,0.18,56.19,8.47,-9.17,1.57,-1.41,0.127
2020-2024,0.0,QQQ,Broad Index,Core,-2.0,3,105,0.34,0.25,0.09,57.14,8.4,-13.28,2.75,-2.88,0.03
2020-2024,0.0,QQQ,Broad Index,Core,-2.0,5,105,0.55,0.42,0.13,59.05,10.02,-16.2,3.44,-3.62,0.036
2020-2024,0.1,QQQ,Broad Index,Core,-2.0,1,105,0.16,0.08,0.08,51.43,8.37,-9.27,1.61,-1.37,0.058
2020-2024,0.1,QQQ,Broad Index,Core,-2.0,3,105,0.24,0.25,-0.01,55.24,8.3,-13.38,2.74,-2.85,-0.005
2020-2024,0.1,QQQ,Broad Index,Core,-2.0,5,105,0.45,0.42,0.03,56.19,9.92,-16.3,3.51,-3.48,0.008
2020-2024,0.25,QQQ,Broad Index,Core,-2.0,1,105,0.01,0.08,-0.07,45.71,8.22,-9.42,1.65,-1.36,-0.052
2020-2024,0.25,QQQ,Broad Index,Core,-2.0,3,105,0.09,0.25,-0.16,49.52,8.15,-13.53,2.9,-2.67,-0.061
2020-2024,0.25,QQQ,Broad Index,Core,-2.0,5,105,0.3,0.42,-0.12,54.29,9.77,-16.45,3.48,-3.48,-0.035
