Period,Transaction cost (%),Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2010-2014,0.0,SPY,Broad Index,Core,-1.0,1,139,0.15,0.06,0.09,56.83,4.65,-3.23,0.97,-0.94,0.092
2010-2014,0.0,SPY,Broad Index,Core,-1.0,3,139,0.46,0.18,0.27,58.99,7.42,-5.33,1.92,-1.65,0.166
2010-2014,0.0,SPY,Broad Index,Core,-1.0,5,139,0.65,0.3,0.35,61.15,8.78,-7.29,2.49,-2.25,0.154
2010-2014,0.1,SPY,Broad Index,Core,-1.0,1,139,0.05,0.06,-0.01,50.36,4.55,-3.33,0.99,-0.91,-0.015
2010-2014,0.1,SPY,Broad Index,Core,-1.0,3,139,0.36,0.18,0.17,57.55,7.32,-5.43,1.87,-1.7,0.103
2010-2014,0.1,SPY,Broad Index,Core,-1.0,5,139,0.55,0.3,0.25,59.71,8.68,-7.39,2.45,-2.27,0.108
2010-2014,0.25,SPY,Broad Index,Core,-1.0,1,139,-0.1,0.06,-0.16,46.76,4.4,-3.48,0.91,-0.99,-0.165
2010-2014,0.25,SPY,Broad Index,Core,-1.0,3,139,0.21,0.18,0.02,56.83,7.17,-5.58,1.74,-1.82,0.013
2010-2014,0.25,SPY,Broad Index,Core,-1.0,5,139,0.4,0.3,0.1,58.27,8.53,-7.54,2.36,-2.33,0.041
2010-2014,0.5,SPY,Broad Index,Core,-1.0,1,139,-0.35,0.06,-0.41,38.85,4.15,-3.73,0.82,-1.1,-0.377
2010-2014,0.5,SPY,Broad Index,Core,-1.0,3,139,-0.04,0.18,-0.23,49.64,6.92,-5.83,1.73,-1.79,-0.126
2010-2014,0.5,SPY,Broad Index,Core,-1.0,5,139,0.15,0.3,-0.15,53.96,8.28,-7.79,2.29,-2.36,-0.066
2010-2014,0.0,SPY,Broad Index,Core,-1.5,1,73,0.21,0.06,0.15,60.27,4.65,-3.23,0.98,-0.95,0.159
2010-2014,0.0,SPY,Broad Index,Core,-1.5,3,73,0.24,0.18,0.06,53.42,7.42,-5.33,2.01,-1.79,0.032
2010-2014,0.0,SPY,Broad Index,Core,-1.5,5,73,0.51,0.3,0.2,54.79,8.78,-6.38,2.89,-2.38,0.086
2010-2014,0.1,SPY,Broad Index,Core,-1.5,1,73,0.11,0.06,0.05,53.42,4.55,-3.33,1.0,-0.9,0.057
2010-2014,0.1,SPY,Broad Index,Core,-1.5,3,73,0.14,0.18,-0.04,52.05,7.32,-5.43,1.96,-1.84,-0.023
