Period,Ticker,Category,Universe,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2010-2014,IWM,Broad Index,Core,-1.5%,129,0.09%,0.07%,0.03%,53.49%,6.66%,-8.71%,1.37%,-1.38%,0.50%,0.20%,0.30%,56.59%,10.08%,-7.89%,2.71%,-2.38%,0.99%,0.32%,0.67%,62.02%,12.10%,-9.50%,3.26%,-2.71%
2010-2014,IWM,Broad Index,Core,-2.0%,67,0.30%,0.07%,0.23%,52.24%,6.66%,-5.15%,1.81%,-1.36%,0.84%,0.20%,0.64%,55.22%,10.08%,-7.89%,3.16%,-2.02%,1.33%,0.32%,1.01%,64.18%,12.10%,-9.50%,3.65%,-2.83%
2010-2014,IWM,Broad Index,Core,-2.5%,44,0.37%,0.07%,0.31%,52.27%,6.66%,-5.15%,2.13%,-1.54%,0.77%,0.20%,0.58%,54.55%,10.08%,-7.89%,3.44%,-2.42%,1.51%,0.32%,1.19%,65.91%,12.10%,-9.50%,3.85%,-3.02%
2010-2014,IWM,Broad Index,Core,-3.0%,28,0.53%,0.07%,0.47%,53.57%,6.66%,-5.15%,2.45%,-1.68%,0.48%,0.20%,0.29%,60.71%,10.08%,-7.89%,3.00%,-3.40%,2.05%,0.32%,1.73%,67.86%,12.10%,-9.50%,4.48%,-3.08%
2010-2014,DIA,Broad Index,Core,-1.0%,115,0.13%,0.06%,0.07%,56.52%,4.07%,-3.50%,0.88%,-0.85%,0.35%,0.17%,0.18%,56.52%,7.13%,-5.10%,1.84%,-1.59%,0.52%,0.28%,0.24%,57.39%,7.38%,-6.47%,2.47%,-2.10%
2010-2014,DIA,Broad Index,Core,-1.5%,58,0.16%,0.06%,0.10%,56.90%,3.98%,-3.50%,0.99%,-0.93%,0.51%,0.17%,0.34%,58.62%,7.13%,-5.10%,1.93%,-1.50%,1.04%,0.28%,0.76%,60.34%,7.38%,-5.14%,2.82%,-1.67%
2010-2014,DIA,Broad Index,Core,-2.0%,31,-0.05%,0.06%,-0.11%,51.61%,3.98%,-3.50%,1.09%,-1.28%,0.84%,0.17%,0.68%,64.52%,7.13%,-3.55%,2.08%,-1.41%,1.79%,0.28%,1.51%,74.19%,7.38%,-5.14%,3.19%,-2.25%
2010-2014,DIA,Broad Index,Core,-2.5%,14,0.24%,0.06%,0.19%,64.29%,3.98%,-3.50%,1.34%,-1.74%,1.41%,0.17%,1.24%,64.29%,7.13%,-1.88%,2.67%,-0.85%,2.50%,0.28%,2.23%,85.71%,6.62%,-2.16%,3.19%,-1.59%
2010-2014,DIA,Broad Index,Core,-3.0%,9,0.73%,0.06%,0.67%,66.67%,3.98%,-1.59%,1.79%,-1.39%,2.12%,0.17%,1.95%,66.67%,7.13%,-1.18%,3.47%,-0.58%,2.77%,0.28%,2.49%,88.89%,6.62%,-2.16%,3.39%,-2.16%
2010-2014,XLK,Sector,Core,-1.0%,157,0.03%,0.06%,-0.03%,51.59%,4.60%,-3.48%,0.98%,-0.99%,0.20%,0.18%,0.02%,52.87%,6.62%,-5.56%,1.91%,-1.74%,0.39%,0.30%,0.09%,56.69%,8.58%,-7.01%,2.34%,-2.21%
2010-2014,XLK,Sector,Core,-1.5%,82,0.09%,0.06%,0.03%,52.44%,4.60%,-2.77%,1.05%,-0.97%,0.27%,0.18%,0.09%,53.66%,6.62%,-5.56%,2.11%,-1.86%,0.38%,0.30%,0.08%,53.66%,8.58%,-7.01%,2.69%,-2.30%
2010-2014,XLK,Sector,Core,-2.0%,44,0.21%,0.06%,0.15%,54.55%,4.60%,-2.43%,1.31%,-1.10%,0.78%,0.18%,0.60%,59.09%,6.62%,-5.56%,2.53%,-1.75%,1.14%,0.30%,0.84%,61.36%,8.58%,-7.01%,3.35%,-2.37%
2010-2014,XLK,Sector,Core,-2.5%,20,0.07%,0.06%,0.01%,50.00%,4.57%,-2.43%,1.52%,-1.39%,0.86%,0.18%,0.68%,65.00%,6.42%,-5.56%,2.40%,-2.00%,1.53%,0.30%,1.23%,70.00%,6.93%,-3.23%,3.09%,-2.10%
2010-2014,XLK,Sector,Core,-3.0%,11,0.29%,0.06%,0.23%,54.55%,4.57%,-2.43%,1.90%,-1.65%,1.35%,0.18%,1.17%,63.64%,6.42%,-2.08%,2.94%,-1.44%,1.80%,0.30%,1.50%,81.82%,6.93%,-3.23%,2.80%,-2.70%
2010-2014,XLF,Sector,Core,-1.0%,195,0.26%,0.06%,0.21%,60.00%,7.73%,-9.46%,1.37%,-1.41%,0.40%,0.17%,0.24%,56.92%,8.78%,-9.23%,2.31%,-2.15%,0.70%,0.27%,0.43%,59.49%,11.02%,-9.58%,2.81%,-2.43%
2010-2014,XLF,Sector,Core,-1.5%,126,0.26%,0.06%,0.20%,58.73%,7.73%,-9.46%,1.54%,-1.56%,0.28%,0.17%,0.11%,52.38%,8.78%,-9.23%,2.57%,-2.24%,0.55%,0.27%,0.27%,57.14%,10.28%,-9.58%,3.07%,-2.81%
2010-2014,XLF,Sector,Core,-2.0%,80,0.30%,0.06%,0.24%,58.75%,7.73%,-4.74%,1.59%,-1.53%,0.43%,0.17%,0.26%,52.50%,8.78%,-7.96%,2.91%,-2.32%,0.70%,0.27%,0.43%,56.25%,10.28%,-8.71%,3.57%,-2.99%
2010-2014,XLF,Sector,Core,-2.5%,43,0.49%,0.06%,0.43%,58.14%,7.73%,-4.74%,2.02%,-1.65%,0.84%,0.17%,0.68%,58.14%,8.78%,-7.96%,3.46%,-2.79%,1.33%,0.27%,1.06%,55.81%,10.28%,-8.71%,4.27%,-2.38%
2010-2014,XLF,Sector,Core,-3.0%,29,0.57%,0.06%,0.52%,51.72%,7.73%,-4.74%,2.78%,-1.79%,1.56%,0.17%,1.39%,65.52%,8.78%,-4.31%,3.20%,-1.54%,2.13%,0.27%,1.86%,65.52%,10.28%,-5.99%,4.26%,-1.91%
2010-2014,XLE,Sector,Core,-1.0%,218,0.05%,0.04%,0.01%,51.83%,5.19%,-6.42%,1.32%,-1.32%,0.17%,0.12%,0.05%,52.75%,9.54%,-10.13%,2.45%,-2.38%,0.47%,0.20%,0.27%,55.96%,12.63%,-11.80%,3.09%,-2.86%
2010-2014,XLE,Sector,Core,-1.5%,137,0.13%,0.04%,0.09%,52.55%,5.19%,-5.64%,1.40%,-1.28%,0.37%,0.12%,0.25%,55.47%,9.54%,-10.13%,2.71%,-2.54%,0.71%,0.20%,0.51%,60.58%,12.63%,-11.80%,3.23%,-3.16%
2010-2014,XLE,Sector,Core,-2.0%,72,0.15%,0.04%,0.11%,50.00%,5.19%,-5.64%,1.43%,-1.13%,0.40%,0.12%,0.28%,50.00%,9.54%,-8.27%,3.05%,-2.24%,0.77%,0.20%,0.57%,61.11%,12.63%,-11.80%,3.26%,-3.14%
2010-2014,XLE,Sector,Core,-2.5%,43,0.07%,0.04%,0.03%,46.51%,5.19%,-5.64%,1.79%,-1.42%,0.24%,0.12%,0.12%,46.51%,9.54%,-8.27%,3.37%,-2.48%,1.27%,0.20%,1.07%,69.77%,12.63%,-11.80%,3.50%,-3.89%
2010-2014,XLE,Sector,Core,-3.0%,30,0.39%,0.04%,0.35%,56.67%,5.19%,-5.64%,1.90%,-1.58%,1.01%,0.12%,0.88%,56.67%,9.54%,-5.65%,3.55%,-2.32%,2.51%,0.20%,2.31%,83.33%,12.63%,-5.06%,3.73%,-3.61%
2010-2014,XLV,Sector,Core,-1.0%,127,0.11%,0.07%,0.04%,59.06%,4.57%,-3.18%,0.82%,-0.91%,0.36%,0.22%,0.14%,54.33%,7.38%,-5.87%,1.69%,-1.22%,0.53%,0.37%,0.16%,67.72%,7.38%,-10.02%,1.86%,-2.27%
2010-2014,XLV,Sector,Core,-1.5%,65,0.15%,0.07%,0.08%,61.54%,4.57%,-2.57%,0.86%,-0.98%,0.10%,0.22%,-0.12%,43.08%,7.38%,-5.87%,1.97%,-1.31%,0.27%,0.37%,-0.09%,58.46%,7.38%,-10.02%,2.06%,-2.24%
2010-2014,XLV,Sector,Core,-2.0%,28,0.36%,0.07%,0.28%,64.29%,4.57%,-2.02%,1.00%,-0.81%,0.73%,0.22%,0.51%,53.57%,7.38%,-3.69%,2.49%,-1.30%,0.85%,0.37%,0.48%,64.29%,7.38%,-4.97%,2.25%,-1.67%
2010-2014,XLV,Sector,Core,-2.5%,15,0.57%,0.07%,0.50%,60.00%,4.57%,-2.02%,1.50%,-0.81%,1.53%,0.22%,1.31%,66.67%,7.38%,-0.92%,2.55%,-0.51%,2.31%,0.37%,1.94%,86.67%,7.38%,-0.76%,2.77%,-0.68%
2010-2014,XLV,Sector,Core,-3.0%,7,1.30%,0.07%,1.23%,71.43%,4.57%,-0.94%,2.06%,-0.60%,2.48%,0.22%,2.26%,71.43%,7.38%,-0.92%,3.75%,-0.67%,3.41%,0.37%,3.05%,85.71%,7.38%,-0.76%,4.11%,-0.76%
2010-2014,XLI,Sector,Expanded Addition,-1.0%,187,0.12%,0.07%,0.05%,55.08%,5.73%,-4.35%,1.09%,-1.08%,0.49%,0.21%,0.28%,56.68%,8.40%,-7.29%,2.30%,-1.87%,0.72%,0.35%,0.37%,61.50%,10.56%,-8.95%,2.78%,-2.58%
2010-2014,XLI,Sector,Expanded Addition,-1.5%,96,0.13%,0.07%,0.05%,54.17%,5.73%,-3.75%,1.22%,-1.17%,0.57%,0.21%,0.36%,56.25%,8.40%,-6.65%,2.60%,-2.05%,0.73%,0.35%,0.38%,59.38%,10.56%,-8.95%,3.20%,-2.88%
2010-2014,XLI,Sector,Expanded Addition,-2.0%,58,0.31%,0.07%,0.24%,53.45%,5.73%,-3.75%,1.55%,-1.13%,0.67%,0.21%,0.46%,50.00%,8.40%,-6.65%,3.10%,-1.77%,1.03%,0.35%,0.67%,58.62%,10.56%,-7.80%,3.61%,-2.64%
2010-2014,XLI,Sector,Expanded Addition,-2.5%,31,0.23%,0.07%,0.16%,54.84%,4.95%,-3.75%,1.63%,-1.48%,0.94%,0.21%,0.73%,54.84%,8.40%,-6.65%,3.37%,-2.01%,2.10%,0.35%,1.75%,70.97%,10.56%,-6.86%,4.03%,-2.63%
2010-2014,XLI,Sector,Expanded Addition,-3.0%,21,0.11%,0.07%,0.04%,52.38%,4.95%,-3.75%,1.71%,-1.66%,0.64%,0.21%,0.43%,47.62%,8.40%,-6.65%,3.46%,-1.93%,1.65%,0.35%,1.30%,66.67%,7.96%,-6.86%,3.71%,-2.45%
2010-2014,XLY,Sector,Expanded Addition,-1.0%,157,0.13%,0.08%,0.05%,50.96%,5.22%,-3.56%,1.15%,-0.92%,0.48%,0.25%,0.24%,57.96%,7.51%,-6.67%,2.05%,-1.69%,0.79%,0.41%,0.38%,61.78%,11.05%,-7.58%,2.64%,-2.21%
2010-2014,XLY,Sector,Expanded Addition,-1.5%,94,0.30%,0.08%,0.22%,51.06%,5.22%,-3.00%,1.39%,-0.83%,0.60%,0.25%,0.35%,59.57%,7.51%,-6.67%,2.33%,-1.95%,0.81%,0.41%,0.40%,61.70%,11.05%,-7.58%,2.95%,-2.63%
2010-2014,XLY,Sector,Expanded Addition,-2.0%,44,0.29%,0.08%,0.21%,54.55%,4.64%,-3.00%,1.45%,-1.10%,0.62%,0.25%,0.37%,61.36%,7.51%,-6.67%,2.30%,-2.06%,1.11%,0.41%,0.70%,63.64%,11.05%,-7.58%,3.48%,-3.06%
2010-2014,XLY,Sector,Expanded Addition,-2.5%,27,0.25%,0.08%,0.17%,51.85%,4.64%,-3.00%,1.63%,-1.22%,1.30%,0.25%,1.05%,70.37%,7.51%,-6.67%,2.78%,-2.24%,2.44%,0.41%,2.04%,77.78%,11.05%,-6.09%,3.72%,-2.01%
2010-2014,XLY,Sector,Expanded Addition,-3.0%,15,0.40%,0.08%,0.32%,60.00%,4.64%,-3.00%,1.73%,-1.58%,1.60%,0.25%,1.36%,73.33%,7.27%,-4.24%,2.98%,-2.18%,2.31%,0.41%,1.90%,80.00%,7.46%,-6.09%,3.58%,-2.80%
2010-2014,XLP,Sector,Expanded Addition,-1.0%,82,0.14%,0.06%,0.08%,59.76%,2.96%,-3.02%,0.70%,-0.71%,0.36%,0.19%,0.18%,52.44%,5.68%,-2.80%,1.52%,-0.94%,0.75%,0.31%,0.44%,62.20%,6.63%,-2.86%,1.91%,-1.22%
2010-2014,XLP,Sector,Expanded Addition,-1.5%,31,0.31%,0.06%,0.25%,67.74%,2.96%,-3.02%,0.88%,-0.89%,0.64%,0.19%,0.45%,64.52%,5.68%,-2.49%,1.58%,-1.07%,1.27%,0.31%,0.96%,74.19%,6.63%,-2.34%,2.11%,-1.16%
2010-2014,XLP,Sector,Expanded Addition,-2.0%,12,0.54%,0.06%,0.48%,66.67%,2.96%,-1.90%,1.26%,-0.90%,1.26%,0.19%,1.07%,83.33%,5.68%,-1.51%,1.66%,-0.77%,1.98%,0.31%,1.67%,75.00%,6.63%,-1.10%,2.89%,-0.76%
2010-2014,XLP,Sector,Expanded Addition,-2.5%,6,1.29%,0.06%,1.23%,83.33%,2.96%,-0.77%,1.70%,-0.77%,1.21%,0.19%,1.03%,66.67%,5.68%,-1.51%,2.20%,-0.77%,2.28%,0.31%,1.97%,66.67%,6.63%,-1.02%,3.71%,-0.58%
2010-2014,XLP,Sector,Expanded Addition,-3.0%,4,2.04%,0.06%,1.97%,100.00%,2.96%,1.32%,2.04%,nan%,2.03%,0.19%,1.85%,75.00%,5.68%,-0.03%,2.72%,-0.03%,3.07%,0.31%,2.76%,75.00%,6.63%,-1.02%,4.44%,-1.02%
2010-2014,XLU,Sector,Expanded Addition,-1.0%,117,0.05%,0.05%,0.00%,55.56%,4.22%,-3.00%,0.78%,-0.87%,0.22%,0.16%,0.06%,58.97%,7.12%,-3.96%,1.36%,-1.48%,0.53%,0.27%,0.26%,62.39%,8.54%,-4.62%,1.93%,-1.89%
2010-2014,XLU,Sector,Expanded Addition,-1.5%,51,0.23%,0.05%,0.17%,54.90%,4.22%,-2.83%,1.03%,-0.79%,0.64%,0.16%,0.47%,66.67%,7.12%,-3.96%,1.64%,-1.63%,1.05%,0.27%,0.77%,64.71%,8.54%,-4.62%,2.40%,-1.74%
2010-2014,XLU,Sector,Expanded Addition,-2.0%,20,0.28%,0.05%,0.23%,55.00%,3.28%,-2.83%,1.22%,-0.86%,0.73%,0.16%,0.57%,60.00%,5.60%,-1.64%,1.82%,-1.13%,1.80%,0.27%,1.52%,65.00%,8.54%,-2.37%,3.10%,-1.02%
2010-2014,XLU,Sector,Expanded Addition,-2.5%,7,0.82%,0.05%,0.77%,71.43%,3.28%,-0.55%,1.29%,-0.36%,1.36%,0.16%,1.20%,57.14%,5.60%,-1.39%,3.06%,-0.91%,3.02%,0.27%,2.75%,85.71%,8.54%,-0.17%,3.56%,-0.17%
2010-2014,XLU,Sector,Expanded Addition,-3.0%,2,2.05%,0.05%,2.00%,100.00%,3.28%,0.82%,2.05%,nan%,2.10%,0.16%,1.94%,50.00%,5.60%,-1.39%,5.60%,-1.39%,4.68%,0.27%,4.41%,100.00%,8.54%,0.82%,4.68%,nan%
2010-2014,XLB,Sector,Expanded Addition,-1.0%,216,0.04%,0.05%,-0.01%,52.31%,6.16%,-5.61%,1.23%,-1.27%,0.28%,0.14%,0.13%,56.94%,10.76%,-10.94%,2.31%,-2.41%,0.53%,0.23%,0.29%,59.26%,13.67%,-9.71%,2.92%,-2.95%
2010-2014,XLB,Sector,Expanded Addition,-1.5%,134,0.24%,0.05%,0.19%,55.22%,6.16%,-5.61%,1.29%,-1.05%,0.48%,0.14%,0.34%,56.72%,10.76%,-7.06%,2.51%,-2.18%,0.77%,0.23%,0.54%,59.70%,13.67%,-8.41%,3.25%,-2.90%
2010-2014,XLB,Sector,Expanded Addition,-2.0%,74,0.23%,0.05%,0.18%,52.70%,6.16%,-5.61%,1.36%,-1.04%,0.65%,0.14%,0.50%,59.46%,10.76%,-6.51%,2.74%,-2.43%,1.14%,0.23%,0.91%,63.51%,13.67%,-8.01%,3.56%,-3.07%
2010-2014,XLB,Sector,Expanded Addition,-2.5%,45,0.39%,0.05%,0.34%,53.33%,6.16%,-5.61%,1.76%,-1.17%,0.89%,0.14%,0.75%,62.22%,10.76%,-6.51%,3.04%,-2.65%,1.66%,0.23%,1.43%,66.67%,13.67%,-8.01%,4.07%,-3.16%
2010-2014,XLB,Sector,Expanded Addition,-3.0%,29,0.25%,0.05%,0.21%,51.72%,6.16%,-5.61%,1.90%,-1.51%,0.30%,0.14%,0.16%,58.62%,7.58%,-6.51%,2.55%,-2.89%,1.15%,0.23%,0.92%,65.52%,10.00%,-8.01%,3.48%,-3.28%
2010-2014,XLRE,Sector,Expanded Addition,-1.0%,0,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
2010-2014,XLRE,Sector,Expanded Addition,-1.5%,0,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
2010-2014,XLRE,Sector,Expanded Addition,-2.0%,0,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
2010-2014,XLRE,Sector,Expanded Addition,-2.5%,0,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
2010-2014,XLRE,Sector,Expanded Addition,-3.0%,0,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
2010-2014,SMH,Semiconductors,Expanded Addition,-1.0%,230,0.06%,0.07%,-0.00%,47.83%,5.15%,-6.62%,1.33%,-1.10%,0.31%,0.20%,0.11%,57.83%,7.56%,-7.13%,2.11%,-2.16%,0.65%,0.33%,0.32%,60.00%,8.98%,-8.31%,2.75%,-2.50%
2010-2014,SMH,Semiconductors,Expanded Addition,-1.5%,142,-0.02%,0.07%,-0.08%,47.18%,3.98%,-6.62%,1.29%,-1.18%,0.04%,0.20%,-0.16%,52.82%,5.82%,-7.13%,2.02%,-2.17%,0.55%,0.33%,0.22%,56.34%,8.48%,-8.31%,2.99%,-2.59%
2010-2014,SMH,Semiconductors,Expanded Addition,-2.0%,84,-0.13%,0.07%,-0.20%,45.24%,3.76%,-6.62%,1.25%,-1.28%,-0.15%,0.20%,-0.35%,50.00%,5.13%,-6.52%,2.23%,-2.52%,0.20%,0.33%,-0.14%,51.19%,8.18%,-8.31%,3.07%,-2.82%
2010-2014,SMH,Semiconductors,Expanded Addition,-2.5%,48,-0.13%,0.07%,-0.20%,43.75%,3.18%,-3.19%,1.30%,-1.24%,-0.18%,0.20%,-0.38%,50.00%,5.13%,-6.52%,2.33%,-2.70%,-0.07%,0.33%,-0.40%,50.00%,8.18%,-8.31%,3.10%,-3.23%
2010-2014,SMH,Semiconductors,Expanded Addition,-3.0%,31,-0.17%,0.07%,-0.24%,41.94%,3.18%,-3.19%,1.34%,-1.26%,-0.21%,0.20%,-0.41%,51.61%,4.95%,-5.43%,2.06%,-2.62%,-0.02%,0.33%,-0.36%,51.61%,5.87%,-8.31%,2.77%,-3.01%
2010-2014,SOXX,Semiconductors,Expanded Addition,-1.0%,248,0.01%,0.07%,-0.06%,51.61%,5.21%,-6.89%,1.38%,-1.45%,0.35%,0.20%,0.15%,56.45%,8.59%,-8.20%,2.50%,-2.45%,0.75%,0.33%,0.42%,59.68%,12.17%,-8.19%,3.16%,-2.82%
2010-2014,SOXX,Semiconductors,Expanded Addition,-1.5%,161,-0.05%,0.07%,-0.12%,50.31%,4.94%,-6.89%,1.36%,-1.48%,0.23%,0.20%,0.03%,55.90%,8.59%,-8.20%,2.44%,-2.56%,0.67%,0.33%,0.34%,57.14%,12.17%,-8.19%,3.36%,-2.91%
2010-2014,SOXX,Semiconductors,Expanded Addition,-2.0%,102,-0.20%,0.07%,-0.27%,46.08%,4.47%,-6.89%,1.45%,-1.62%,0.09%,0.20%,-0.11%,51.96%,8.59%,-8.20%,2.54%,-2.56%,0.63%,0.33%,0.30%,56.86%,12.17%,-8.19%,3.43%,-3.07%
2010-2014,SOXX,Semiconductors,Expanded Addition,-2.5%,61,0.02%,0.07%,-0.05%,52.46%,4.47%,-6.89%,1.55%,-1.67%,0.04%,0.20%,-0.16%,52.46%,8.59%,-8.20%,2.81%,-3.01%,0.36%,0.33%,0.03%,50.82%,12.17%,-8.19%,4.01%,-3.41%
2010-2014,SOXX,Semiconductors,Expanded Addition,-3.0%,36,-0.03%,0.07%,-0.10%,47.22%,4.47%,-3.70%,1.63%,-1.52%,0.79%,0.20%,0.59%,61.11%,8.59%,-5.82%,2.89%,-2.51%,1.22%,0.33%,0.89%,58.33%,12.17%,-8.19%,4.13%,-2.86%
2010-2014,IGV,Software,Expanded Addition,-1.0%,214,-0.06%,0.06%,-0.12%,48.60%,5.67%,-7.63%,1.23%,-1.29%,0.24%,0.19%,0.05%,56.07%,8.56%,-9.48%,2.17%,-2.25%,0.56%,0.32%,0.24%,59.35%,11.06%,-9.83%,2.69%,-2.59%
2010-2014,IGV,Software,Expanded Addition,-1.5%,138,-0.00%,0.06%,-0.07%,48.55%,5.67%,-3.68%,1.21%,-1.15%,0.33%,0.19%,0.14%,57.97%,8.56%,-9.48%,2.36%,-2.47%,0.63%,0.32%,0.31%,60.87%,11.06%,-9.83%,2.92%,-2.94%
2010-2014,IGV,Software,Expanded Addition,-2.0%,69,0.05%,0.06%,-0.01%,46.38%,5.67%,-3.68%,1.59%,-1.28%,0.51%,0.19%,0.32%,59.42%,8.56%,-6.27%,2.55%,-2.47%,1.00%,0.32%,0.68%,62.32%,11.06%,-7.84%,3.53%,-3.19%
2010-2014,IGV,Software,Expanded Addition,-2.5%,35,0.14%,0.06%,0.08%,45.71%,5.67%,-3.68%,1.94%,-1.38%,1.08%,0.19%,0.89%,68.57%,8.56%,-6.27%,2.76%,-2.58%,1.72%,0.32%,1.40%,68.57%,11.06%,-7.84%,3.83%,-2.88%
2010-2014,IGV,Software,Expanded Addition,-3.0%,21,0.32%,0.06%,0.26%,52.38%,5.67%,-2.57%,2.06%,-1.60%,1.71%,0.19%,1.52%,71.43%,8.56%,-3.77%,3.24%,-2.13%,2.32%,0.32%,2.01%,76.19%,11.06%,-4.22%,3.78%,-2.32%
2010-2014,TLT,Bonds,Expanded Addition,-1.0%,163,0.12%,0.04%,0.07%,55.83%,3.16%,-3.39%,0.87%,-0.82%,0.28%,0.13%,0.15%,52.15%,8.58%,-3.27%,1.53%,-1.09%,0.57%,0.22%,0.35%,60.74%,10.49%,-4.96%,1.86%,-1.43%
2010-2014,TLT,Bonds,Expanded Addition,-1.5%,63,0.23%,0.04%,0.19%,61.90%,3.16%,-3.39%,0.97%,-0.97%,0.62%,0.13%,0.49%,58.73%,8.58%,-3.14%,1.86%,-1.15%,0.93%,0.22%,0.71%,65.08%,10.49%,-3.03%,2.25%,-1.52%
