Period,Ticker,Category,Universe,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2020-2024,DIA,Broad Index,Core,-1.5%,81,0.40%,0.05%,0.35%,54.32%,11.02%,-10.06%,1.90%,-1.40%,0.27%,0.14%,0.13%,54.32%,20.92%,-14.14%,2.85%,-2.79%,0.53%,0.24%,0.30%,58.02%,19.86%,-18.87%,3.54%,-3.64%
2020-2024,DIA,Broad Index,Core,-2.0%,45,0.62%,0.05%,0.57%,57.78%,11.02%,-10.06%,2.23%,-1.58%,0.06%,0.14%,-0.08%,46.67%,20.92%,-14.14%,3.78%,-3.19%,0.12%,0.24%,-0.12%,53.33%,19.86%,-18.87%,4.42%,-4.79%
2020-2024,DIA,Broad Index,Core,-2.5%,31,0.89%,0.05%,0.84%,61.29%,11.02%,-10.06%,2.72%,-2.01%,-0.23%,0.14%,-0.37%,45.16%,20.92%,-14.14%,4.40%,-4.05%,-0.55%,0.24%,-0.78%,45.16%,19.86%,-18.87%,5.61%,-5.62%
2020-2024,DIA,Broad Index,Core,-3.0%,19,1.00%,0.05%,0.96%,52.63%,11.02%,-10.06%,3.95%,-2.27%,-0.57%,0.14%,-0.71%,42.11%,20.92%,-14.14%,6.04%,-5.39%,-0.96%,0.24%,-1.19%,42.11%,19.86%,-18.87%,7.93%,-7.42%
2020-2024,XLK,Sector,Core,-1.0%,267,0.25%,0.09%,0.16%,57.68%,11.73%,-9.76%,1.56%,-1.54%,0.44%,0.27%,0.17%,55.81%,10.45%,-13.10%,2.71%,-2.48%,0.69%,0.45%,0.24%,58.05%,11.29%,-17.04%,3.47%,-3.22%
2020-2024,XLK,Sector,Core,-1.5%,175,0.36%,0.09%,0.27%,61.71%,11.73%,-9.76%,1.70%,-1.79%,0.60%,0.27%,0.33%,57.14%,10.45%,-13.10%,2.96%,-2.55%,0.87%,0.45%,0.42%,60.00%,11.29%,-17.04%,3.72%,-3.41%
2020-2024,XLK,Sector,Core,-2.0%,114,0.35%,0.09%,0.26%,58.77%,11.73%,-9.76%,1.78%,-1.70%,0.38%,0.27%,0.11%,59.65%,9.35%,-13.10%,2.77%,-3.15%,0.46%,0.45%,0.00%,56.14%,11.29%,-17.04%,3.74%,-3.75%
2020-2024,XLK,Sector,Core,-2.5%,74,0.45%,0.09%,0.36%,55.41%,11.73%,-9.76%,2.19%,-1.72%,0.11%,0.27%,-0.16%,51.35%,9.35%,-13.10%,3.20%,-3.15%,0.30%,0.45%,-0.16%,51.35%,11.29%,-17.04%,4.04%,-3.66%
2020-2024,XLK,Sector,Core,-3.0%,44,0.46%,0.09%,0.37%,56.82%,11.73%,-9.76%,2.30%,-1.96%,-0.22%,0.27%,-0.49%,50.00%,9.35%,-13.10%,3.17%,-3.61%,-0.31%,0.45%,-0.76%,43.18%,11.29%,-17.04%,4.48%,-3.95%
2020-2024,XLF,Sector,Core,-1.0%,226,0.09%,0.06%,0.03%,51.77%,13.16%,-10.81%,1.70%,-1.64%,0.17%,0.17%,-0.00%,54.87%,22.71%,-12.92%,2.55%,-2.74%,0.33%,0.28%,0.05%,56.64%,21.23%,-22.99%,3.20%,-3.42%
2020-2024,XLF,Sector,Core,-1.5%,137,0.06%,0.06%,0.00%,48.91%,13.16%,-10.81%,2.19%,-1.98%,-0.10%,0.17%,-0.27%,53.28%,22.71%,-12.92%,2.88%,-3.51%,0.22%,0.28%,-0.06%,54.74%,21.23%,-22.99%,3.73%,-4.01%
2020-2024,XLF,Sector,Core,-2.0%,82,-0.00%,0.06%,-0.06%,47.56%,13.16%,-10.81%,2.47%,-2.24%,-0.63%,0.17%,-0.80%,48.78%,22.71%,-12.92%,3.16%,-4.23%,-0.33%,0.28%,-0.61%,48.78%,21.23%,-22.99%,4.23%,-4.67%
2020-2024,XLF,Sector,Core,-2.5%,55,0.05%,0.06%,-0.01%,52.73%,13.16%,-10.81%,2.73%,-2.95%,-0.98%,0.17%,-1.15%,43.64%,22.71%,-12.92%,3.83%,-4.70%,-1.05%,0.28%,-1.34%,43.64%,21.23%,-22.99%,4.73%,-5.53%
2020-2024,XLF,Sector,Core,-3.0%,32,0.22%,0.06%,0.16%,56.25%,13.16%,-10.81%,3.40%,-3.87%,-1.32%,0.17%,-1.48%,40.62%,22.71%,-12.92%,4.84%,-5.53%,-1.85%,0.28%,-2.13%,34.38%,21.23%,-22.99%,6.70%,-6.33%
2020-2024,XLE,Sector,Core,-1.0%,315,0.01%,0.07%,-0.06%,49.84%,16.04%,-20.14%,1.89%,-1.85%,0.09%,0.21%,-0.12%,52.38%,28.94%,-21.05%,3.29%,-3.43%,0.28%,0.36%,-0.07%,53.33%,23.90%,-34.55%,4.22%,-4.22%
2020-2024,XLE,Sector,Core,-1.5%,234,0.11%,0.07%,0.04%,51.71%,16.04%,-20.14%,2.01%,-1.91%,0.23%,0.21%,0.02%,54.27%,28.94%,-21.05%,3.41%,-3.55%,0.40%,0.36%,0.05%,52.99%,23.90%,-34.55%,4.60%,-4.33%
