Period,Ticker,Category,Universe,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2020-2024,SMH,Semiconductors,Expanded Addition,-1.5%,259,0.33%,0.13%,0.20%,55.21%,10.22%,-10.56%,2.13%,-1.90%,0.40%,0.37%,0.02%,50.97%,13.56%,-16.03%,3.67%,-3.03%,0.81%,0.62%,0.19%,59.85%,13.96%,-19.23%,4.26%,-4.38%
2020-2024,SMH,Semiconductors,Expanded Addition,-2.0%,180,0.47%,0.13%,0.35%,57.78%,10.22%,-10.56%,2.27%,-1.98%,0.60%,0.37%,0.22%,52.22%,13.24%,-16.03%,3.99%,-3.12%,0.78%,0.62%,0.16%,60.00%,13.96%,-19.23%,4.47%,-4.75%
2020-2024,SMH,Semiconductors,Expanded Addition,-2.5%,136,0.47%,0.13%,0.35%,59.56%,10.22%,-10.56%,2.29%,-2.21%,0.42%,0.37%,0.05%,53.68%,12.75%,-16.03%,3.68%,-3.36%,0.36%,0.62%,-0.26%,55.88%,13.96%,-19.23%,4.46%,-4.83%
2020-2024,SMH,Semiconductors,Expanded Addition,-3.0%,94,0.55%,0.13%,0.43%,61.70%,9.70%,-10.56%,2.21%,-2.12%,0.28%,0.37%,-0.09%,55.32%,10.64%,-16.03%,3.40%,-3.57%,0.38%,0.62%,-0.23%,55.32%,13.96%,-19.23%,4.46%,-4.66%
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.0%,352,0.32%,0.10%,0.22%,55.68%,10.73%,-10.96%,2.08%,-1.89%,0.58%,0.31%,0.27%,53.41%,13.54%,-16.42%,3.61%,-2.92%,0.81%,0.51%,0.29%,57.39%,16.69%,-19.88%,4.23%,-3.84%
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.5%,268,0.37%,0.10%,0.26%,56.34%,10.73%,-10.96%,2.19%,-1.98%,0.51%,0.31%,0.20%,51.87%,13.54%,-16.42%,3.74%,-2.99%,0.84%,0.51%,0.32%,58.21%,14.90%,-19.88%,4.31%,-4.04%
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.0%,190,0.36%,0.10%,0.25%,57.37%,10.73%,-10.96%,2.20%,-2.11%,0.39%,0.31%,0.08%,51.05%,13.28%,-16.42%,3.94%,-3.32%,0.56%,0.51%,0.04%,56.84%,14.90%,-19.88%,4.43%,-4.55%
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.5%,137,0.52%,0.10%,0.42%,59.85%,10.73%,-10.96%,2.38%,-2.25%,0.51%,0.31%,0.20%,52.55%,13.28%,-16.42%,4.03%,-3.39%,0.42%,0.51%,-0.09%,54.74%,14.90%,-19.88%,4.69%,-4.74%
2020-2024,SOXX,Semiconductors,Expanded Addition,-3.0%,95,0.61%,0.10%,0.51%,60.00%,10.73%,-10.96%,2.56%,-2.30%,0.45%,0.31%,0.14%,54.74%,12.48%,-16.42%,3.94%,-3.76%,0.45%,0.51%,-0.06%,53.68%,14.65%,-19.88%,5.03%,-4.85%
2020-2024,IGV,Software,Expanded Addition,-1.0%,283,0.08%,0.08%,0.01%,56.18%,9.77%,-9.33%,1.59%,-1.85%,0.32%,0.23%,0.09%,55.83%,10.50%,-12.18%,2.76%,-2.83%,0.60%,0.38%,0.21%,56.18%,12.43%,-19.00%,3.73%,-3.49%
2020-2024,IGV,Software,Expanded Addition,-1.5%,200,0.03%,0.08%,-0.05%,55.50%,9.77%,-9.33%,1.65%,-1.99%,0.28%,0.23%,0.05%,55.00%,10.50%,-12.18%,2.88%,-2.94%,0.72%,0.38%,0.33%,56.50%,12.43%,-19.00%,4.15%,-3.79%
2020-2024,IGV,Software,Expanded Addition,-2.0%,146,0.10%,0.08%,0.03%,58.22%,9.77%,-9.33%,1.75%,-2.19%,0.20%,0.23%,-0.03%,53.42%,10.50%,-12.18%,2.96%,-2.97%,0.70%,0.38%,0.31%,57.53%,12.43%,-19.00%,4.19%,-4.03%
2020-2024,IGV,Software,Expanded Addition,-2.5%,104,0.09%,0.08%,0.01%,59.62%,9.77%,-9.33%,1.71%,-2.30%,0.17%,0.23%,-0.06%,54.81%,9.27%,-12.18%,3.08%,-3.35%,0.83%,0.38%,0.44%,59.62%,12.43%,-19.00%,4.27%,-4.26%
2020-2024,IGV,Software,Expanded Addition,-3.0%,69,0.16%,0.08%,0.08%,62.32%,9.77%,-9.33%,1.87%,-2.67%,-0.08%,0.23%,-0.31%,53.62%,8.82%,-12.18%,2.96%,-3.59%,0.57%,0.38%,0.18%,57.97%,12.43%,-12.27%,4.15%,-4.38%
2020-2024,TLT,Bonds,Expanded Addition,-1.0%,198,0.13%,-0.02%,0.15%,54.04%,6.48%,-5.64%,1.06%,-0.96%,0.35%,-0.06%,0.41%,53.03%,15.00%,-6.23%,1.85%,-1.35%,0.33%,-0.10%,0.43%,54.55%,12.60%,-7.78%,1.99%,-1.67%
2020-2024,TLT,Bonds,Expanded Addition,-1.5%,98,0.16%,-0.02%,0.18%,54.08%,6.48%,-5.64%,1.17%,-1.03%,0.18%,-0.06%,0.25%,51.02%,15.00%,-6.23%,1.67%,-1.36%,-0.00%,-0.10%,0.10%,48.98%,12.60%,-7.78%,1.80%,-1.73%
2020-2024,TLT,Bonds,Expanded Addition,-2.0%,41,0.33%,-0.02%,0.35%,58.54%,6.48%,-5.64%,1.46%,-1.25%,0.42%,-0.06%,0.49%,56.10%,15.00%,-6.23%,2.16%,-1.79%,0.07%,-0.10%,0.18%,46.34%,12.60%,-7.78%,2.31%,-1.86%
2020-2024,TLT,Bonds,Expanded Addition,-2.5%,15,0.15%,-0.02%,0.17%,66.67%,3.35%,-5.64%,1.48%,-2.49%,1.46%,-0.06%,1.52%,66.67%,15.00%,-5.27%,3.49%,-2.61%,0.16%,-0.10%,0.27%,40.00%,12.60%,-7.78%,4.20%,-2.53%
2020-2024,TLT,Bonds,Expanded Addition,-3.0%,6,-1.04%,-0.02%,-1.02%,50.00%,2.72%,-5.64%,1.45%,-3.53%,3.67%,-0.06%,3.73%,83.33%,15.00%,-5.27%,5.46%,-5.27%,0.90%,-0.10%,1.00%,33.33%,12.60%,-7.78%,9.55%,-3.43%
2020-2024,HYG,Bonds,Expanded Addition,-1.0%,51,-0.08%,0.01%,-0.09%,54.90%,4.12%,-4.30%,0.93%,-1.30%,-0.11%,0.04%,-0.15%,50.98%,11.95%,-6.42%,1.76%,-2.06%,-0.03%,0.07%,-0.10%,49.02%,13.20%,-9.78%,2.90%,-2.86%
2020-2024,HYG,Bonds,Expanded Addition,-1.5%,22,0.04%,0.01%,0.02%,59.09%,4.12%,-4.00%,1.32%,-1.82%,-0.08%,0.04%,-0.13%,45.45%,11.95%,-6.42%,2.83%,-2.52%,0.55%,0.07%,0.48%,54.55%,13.20%,-9.71%,4.52%,-4.21%
2020-2024,HYG,Bonds,Expanded Addition,-2.0%,12,0.04%,0.01%,0.03%,66.67%,3.14%,-4.00%,1.33%,-2.52%,-0.79%,0.04%,-0.83%,50.00%,5.33%,-6.42%,2.50%,-4.08%,0.08%,0.07%,0.01%,58.33%,10.44%,-9.71%,5.13%,-6.98%
2020-2024,HYG,Bonds,Expanded Addition,-2.5%,7,0.83%,0.01%,0.81%,85.71%,3.14%,-2.25%,1.34%,-2.25%,-1.93%,0.04%,-1.97%,42.86%,2.39%,-5.97%,1.46%,-4.48%,-2.43%,0.07%,-2.50%,57.14%,3.65%,-9.28%,1.85%,-8.13%
2020-2024,HYG,Bonds,Expanded Addition,-3.0%,5,0.81%,0.01%,0.79%,80.00%,3.14%,-2.25%,1.57%,-2.25%,-3.39%,0.04%,-3.43%,20.00%,0.98%,-5.97%,0.98%,-4.48%,-4.50%,0.07%,-4.57%,40.00%,1.23%,-9.28%,0.94%,-8.13%
2020-2024,LQD,Bonds,Expanded Addition,-1.0%,59,-0.23%,0.00%,-0.23%,45.76%,4.33%,-5.00%,0.86%,-1.15%,-0.37%,0.00%,-0.37%,45.76%,11.36%,-13.40%,1.44%,-1.89%,-0.28%,0.01%,-0.28%,45.76%,16.78%,-10.93%,2.11%,-2.29%
2020-2024,LQD,Bonds,Expanded Addition,-1.5%,15,-0.86%,0.00%,-0.86%,40.00%,4.33%,-5.00%,1.81%,-2.63%,-0.59%,0.00%,-0.60%,40.00%,11.36%,-9.98%,3.27%,-3.17%,-0.59%,0.01%,-0.59%,46.67%,16.78%,-10.93%,4.81%,-5.31%
2020-2024,LQD,Bonds,Expanded Addition,-2.0%,8,-1.85%,0.00%,-1.86%,25.00%,4.33%,-5.00%,2.97%,-3.46%,-1.17%,0.00%,-1.17%,37.50%,11.36%,-9.98%,5.41%,-5.11%,-1.21%,0.01%,-1.22%,50.00%,16.78%,-10.93%,7.15%,-9.57%
2020-2024,LQD,Bonds,Expanded Addition,-2.5%,5,-1.75%,0.00%,-1.76%,40.00%,4.33%,-5.00%,2.97%,-4.91%,0.68%,0.00%,0.68%,40.00%,11.36%,-8.24%,7.54%,-3.89%,1.31%,0.01%,1.30%,60.00%,16.78%,-10.93%,9.42%,-10.85%
2020-2024,LQD,Bonds,Expanded Addition,-3.0%,5,-1.75%,0.00%,-1.76%,40.00%,4.33%,-5.00%,2.97%,-4.91%,0.68%,0.00%,0.68%,40.00%,11.36%,-8.24%,7.54%,-3.89%,1.31%,0.01%,1.30%,60.00%,16.78%,-10.93%,9.42%,-10.85%
2020-2024,GLD,Commodities,Expanded Addition,-1.0%,139,-0.02%,0.05%,-0.07%,50.36%,2.13%,-3.07%,0.71%,-0.76%,0.21%,0.14%,0.08%,56.83%,11.13%,-7.25%,1.48%,-1.45%,0.47%,0.22%,0.24%,61.15%,11.01%,-7.07%,1.90%,-1.80%
2020-2024,GLD,Commodities,Expanded Addition,-1.5%,77,-0.13%,0.05%,-0.17%,51.95%,1.70%,-3.07%,0.62%,-0.93%,0.11%,0.14%,-0.03%,55.84%,11.13%,-7.25%,1.50%,-1.66%,0.26%,0.22%,0.04%,54.55%,11.01%,-7.07%,2.08%,-1.91%
2020-2024,GLD,Commodities,Expanded Addition,-2.0%,29,-0.25%,0.05%,-0.30%,41.38%,1.61%,-3.05%,0.68%,-0.92%,-0.13%,0.14%,-0.26%,55.17%,3.90%,-7.25%,1.41%,-2.02%,-0.29%,0.22%,-0.52%,48.28%,6.18%,-7.07%,2.03%,-2.46%
2020-2024,GLD,Commodities,Expanded Addition,-2.5%,14,-0.05%,0.05%,-0.09%,57.14%,1.61%,-3.05%,0.69%,-1.04%,0.35%,0.14%,0.22%,64.29%,3.90%,-2.86%,1.51%,-1.74%,0.32%,0.22%,0.10%,64.29%,6.18%,-6.60%,2.34%,-3.30%
2020-2024,GLD,Commodities,Expanded Addition,-3.0%,11,-0.03%,0.05%,-0.08%,54.55%,1.61%,-3.05%,0.84%,-1.08%,0.35%,0.14%,0.22%,63.64%,3.90%,-2.86%,1.53%,-1.70%,0.60%,0.22%,0.38%,63.64%,6.18%,-6.60%,2.86%,-3.34%
2020-2024,SLV,Commodities,Expanded Addition,-1.0%,310,-0.04%,0.06%,-0.09%,50.97%,5.26%,-12.34%,1.32%,-1.44%,-0.08%,0.17%,-0.25%,51.29%,11.44%,-18.74%,2.54%,-2.87%,0.08%,0.29%,-0.21%,52.90%,23.53%,-24.43%,3.40%,-3.70%
2020-2024,SLV,Commodities,Expanded Addition,-1.5%,213,-0.12%,0.06%,-0.18%,47.42%,5.00%,-12.34%,1.28%,-1.38%,-0.05%,0.17%,-0.22%,51.17%,11.44%,-18.74%,2.73%,-2.95%,0.10%,0.29%,-0.19%,54.46%,23.53%,-24.43%,3.49%,-3.94%
2020-2024,SLV,Commodities,Expanded Addition,-2.0%,141,-0.10%,0.06%,-0.16%,48.23%,4.23%,-12.34%,1.30%,-1.41%,0.04%,0.17%,-0.13%,53.90%,11.44%,-18.74%,2.77%,-3.15%,0.66%,0.29%,0.37%,59.57%,23.53%,-22.57%,3.73%,-3.86%
2020-2024,SLV,Commodities,Expanded Addition,-2.5%,93,-0.08%,0.06%,-0.14%,48.39%,4.23%,-12.34%,1.36%,-1.43%,0.17%,0.17%,-0.01%,58.06%,11.44%,-18.74%,2.77%,-3.44%,0.92%,0.29%,0.63%,61.29%,23.53%,-22.57%,4.00%,-3.95%
2020-2024,SLV,Commodities,Expanded Addition,-3.0%,63,-0.16%,0.06%,-0.22%,47.62%,4.23%,-12.34%,1.39%,-1.57%,0.43%,0.17%,0.26%,60.32%,11.44%,-18.74%,3.06%,-3.57%,1.12%,0.29%,0.83%,61.90%,23.53%,-22.57%,4.10%,-3.73%
2020-2024,USO,Commodities,Expanded Addition,-1.0%,361,-0.21%,0.01%,-0.22%,51.80%,14.01%,-25.32%,2.03%,-2.61%,-0.10%,0.05%,-0.15%,56.23%,20.80%,-40.38%,3.48%,-4.71%,-0.20%,0.09%,-0.28%,57.06%,31.99%,-43.34%,4.59%,-6.56%
2020-2024,USO,Commodities,Expanded Addition,-1.5%,261,-0.45%,0.01%,-0.47%,48.28%,14.01%,-25.32%,2.14%,-2.87%,-0.43%,0.05%,-0.48%,54.02%,20.80%,-40.38%,3.57%,-5.14%,-0.32%,0.09%,-0.41%,57.85%,31.99%,-43.34%,4.87%,-7.45%
2020-2024,USO,Commodities,Expanded Addition,-2.0%,206,-0.62%,0.01%,-0.63%,46.60%,14.01%,-25.32%,2.25%,-3.12%,-0.56%,0.05%,-0.61%,52.43%,20.80%,-40.38%,3.63%,-5.18%,-0.51%,0.09%,-0.60%,57.77%,31.99%,-43.34%,5.00%,-8.06%
2020-2024,USO,Commodities,Expanded Addition,-2.5%,149,-0.92%,0.01%,-0.94%,41.61%,14.01%,-25.32%,2.49%,-3.35%,-1.11%,0.05%,-1.16%,48.99%,20.80%,-40.38%,3.74%,-5.76%,-1.05%,0.09%,-1.14%,55.70%,31.99%,-43.34%,5.37%,-9.13%
2020-2024,USO,Commodities,Expanded Addition,-3.0%,105,-1.08%,0.01%,-1.09%,43.81%,14.01%,-25.32%,2.48%,-3.84%,-1.43%,0.05%,-1.48%,50.48%,20.80%,-40.38%,3.73%,-6.68%,-1.87%,0.09%,-1.95%,52.38%,31.99%,-43.34%,5.62%,-10.10%
