Period,Ticker,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2010-2024,SPY,-1.0%,417,0.11%,0.06%,0.05%,54.20%,9.06%,-9.57%,1.16%,-1.13%,0.36%,0.17%,0.19%,58.99%,17.16%,-12.58%,2.06%,-2.11%,0.54%,0.28%,0.26%,60.91%,17.36%,-17.97%,2.57%,-2.66%
2010-2024,SPY,-1.5%,225,0.16%,0.06%,0.11%,55.11%,9.06%,-9.57%,1.30%,-1.23%,0.35%,0.17%,0.18%,58.22%,17.16%,-12.58%,2.23%,-2.28%,0.49%,0.28%,0.20%,58.67%,17.36%,-17.97%,2.81%,-2.81%
2010-2024,SPY,-2.0%,126,0.33%,0.06%,0.27%,56.35%,9.06%,-9.57%,1.67%,-1.41%,0.40%,0.17%,0.23%,59.52%,17.16%,-12.58%,2.50%,-2.68%,0.78%,0.28%,0.50%,60.32%,17.36%,-17.97%,3.25%,-2.98%
2010-2024,SPY,-2.5%,72,0.51%,0.06%,0.45%,58.33%,9.06%,-9.57%,1.98%,-1.55%,0.55%,0.17%,0.38%,59.72%,17.16%,-12.58%,2.99%,-3.08%,1.03%,0.28%,0.74%,66.67%,17.36%,-17.97%,3.72%,-4.36%
2010-2024,SPY,-3.0%,43,0.25%,0.06%,0.20%,51.16%,8.55%,-9.57%,2.11%,-1.69%,-0.01%,0.17%,-0.18%,53.49%,7.86%,-12.58%,3.13%,-3.62%,0.50%,0.28%,0.21%,67.44%,11.33%,-17.97%,3.45%,-5.62%
2010-2024,QQQ,-1.0%,558,0.15%,0.08%,0.08%,54.66%,8.47%,-9.17%,1.31%,-1.24%,0.35%,0.23%,0.13%,55.02%,9.38%,-13.28%,2.27%,-2.01%,0.65%,0.38%,0.28%,61.47%,10.72%,-16.20%,2.71%,-2.66%
2010-2024,QQQ,-1.5%,342,0.21%,0.08%,0.13%,56.43%,8.47%,-9.17%,1.35%,-1.26%,0.51%,0.23%,0.29%,57.60%,8.40%,-13.28%,2.49%,-2.17%,0.69%,0.38%,0.31%,59.65%,10.17%,-16.20%,3.09%,-2.87%
2010-2024,QQQ,-2.0%,204,0.25%,0.08%,0.17%,55.88%,8.47%,-9.17%,1.49%,-1.33%,0.55%,0.23%,0.32%,59.31%,8.40%,-13.28%,2.65%,-2.52%,0.78%,0.38%,0.41%,60.29%,10.02%,-16.20%,3.22%,-2.92%
2010-2024,QQQ,-2.5%,128,0.32%,0.08%,0.24%,55.47%,8.47%,-9.17%,1.69%,-1.40%,0.53%,0.23%,0.30%,60.94%,7.77%,-13.28%,2.66%,-2.81%,0.88%,0.38%,0.50%,63.28%,10.02%,-16.20%,3.22%,-3.17%
2010-2024,QQQ,-3.0%,76,0.42%,0.08%,0.35%,55.26%,8.47%,-9.17%,2.05%,-1.58%,0.43%,0.23%,0.21%,56.58%,7.77%,-13.28%,2.89%,-2.77%,0.77%,0.38%,0.39%,63.16%,10.02%,-16.20%,3.13%,-3.28%
2010-2024,IWM,-1.0%,678,0.04%,0.05%,-0.01%,52.21%,9.15%,-11.05%,1.27%,-1.30%,0.25%,0.14%,0.11%,54.42%,17.38%,-17.68%,2.33%,-2.24%,0.48%,0.24%,0.24%,57.52%,15.60%,-24.00%,2.93%,-2.84%
2010-2024,IWM,-1.5%,389,0.05%,0.05%,0.01%,52.96%,7.66%,-11.05%,1.38%,-1.44%,0.21%,0.14%,0.07%,55.78%,12.86%,-17.68%,2.51%,-2.69%,0.54%,0.24%,0.30%,59.13%,15.05%,-24.00%,3.18%,-3.28%
2010-2024,IWM,-2.0%,214,0.13%,0.05%,0.08%,52.34%,7.66%,-11.05%,1.62%,-1.51%,0.28%,0.14%,0.13%,54.67%,12.86%,-17.68%,2.88%,-2.86%,0.48%,0.24%,0.24%,57.48%,15.05%,-24.00%,3.49%,-3.60%
2010-2024,IWM,-2.5%,135,0.14%,0.05%,0.09%,51.85%,7.66%,-11.05%,1.86%,-1.72%,-0.04%,0.14%,-0.18%,51.11%,12.86%,-17.68%,2.96%,-3.18%,0.41%,0.24%,0.17%,60.00%,15.05%,-24.00%,3.46%,-4.17%
2010-2024,IWM,-3.0%,82,0.18%,0.05%,0.13%,54.88%,6.70%,-11.05%,1.87%,-1.88%,-0.52%,0.14%,-0.66%,51.22%,10.08%,-17.68%,2.73%,-3.93%,0.11%,0.24%,-0.13%,58.54%,12.10%,-24.00%,3.70%,-4.97%
2010-2024,DIA,-1.0%,379,0.17%,0.05%,0.11%,56.99%,11.02%,-10.06%,1.14%,-1.13%,0.35%,0.15%,0.20%,58.05%,20.92%,-14.14%,1.98%,-1.90%,0.57%,0.25%,0.31%,60.95%,19.86%,-18.87%,2.45%,-2.38%
2010-2024,DIA,-1.5%,197,0.26%,0.05%,0.20%,58.38%,11.02%,-10.06%,1.38%,-1.32%,0.42%,0.15%,0.26%,58.38%,20.92%,-14.14%,2.29%,-2.21%,0.76%,0.25%,0.50%,61.42%,19.86%,-18.87%,2.90%,-2.64%
2010-2024,DIA,-2.0%,106,0.31%,0.05%,0.26%,58.49%,11.02%,-10.06%,1.65%,-1.57%,0.46%,0.15%,0.30%,53.77%,20.92%,-14.14%,2.87%,-2.35%,0.86%,0.25%,0.61%,64.15%,19.86%,-18.87%,3.42%,-3.71%
2010-2024,DIA,-2.5%,59,0.53%,0.05%,0.48%,59.32%,11.02%,-10.06%,2.27%,-2.00%,0.50%,0.15%,0.35%,52.54%,20.92%,-14.14%,3.62%,-2.95%,0.78%,0.25%,0.53%,64.41%,19.86%,-18.87%,3.99%,-5.03%
2010-2024,DIA,-3.0%,36,0.58%,0.05%,0.53%,52.78%,11.02%,-10.06%,2.87%,-1.97%,0.40%,0.15%,0.24%,50.00%,20.92%,-14.14%,4.56%,-3.77%,0.66%,0.25%,0.41%,63.89%,19.86%,-18.87%,4.77%,-6.60%
2010-2024,XLK,-1.0%,569,0.17%,0.08%,0.10%,56.06%,11.73%,-9.76%,1.33%,-1.30%,0.38%,0.22%,0.15%,55.54%,10.45%,-13.10%,2.36%,-2.12%,0.67%,0.37%,0.30%,59.75%,11.29%,-17.04%,2.91%,-2.68%
2010-2024,XLK,-1.5%,350,0.24%,0.08%,0.16%,58.00%,11.73%,-9.76%,1.47%,-1.46%,0.55%,0.22%,0.33%,57.71%,10.45%,-13.10%,2.61%,-2.25%,0.82%,0.37%,0.44%,60.57%,11.29%,-17.04%,3.21%,-2.86%
2010-2024,XLK,-2.0%,208,0.30%,0.08%,0.22%,57.69%,11.73%,-9.76%,1.63%,-1.53%,0.59%,0.22%,0.36%,59.62%,9.35%,-13.10%,2.69%,-2.51%,0.81%,0.37%,0.44%,60.58%,11.29%,-17.04%,3.42%,-3.20%
2010-2024,XLK,-2.5%,124,0.37%,0.08%,0.29%,54.84%,11.73%,-9.76%,2.05%,-1.67%,0.49%,0.22%,0.26%,55.65%,9.35%,-13.10%,2.97%,-2.62%,0.88%,0.37%,0.50%,59.68%,11.29%,-17.04%,3.58%,-3.12%
2010-2024,XLK,-3.0%,74,0.43%,0.08%,0.35%,56.76%,11.73%,-9.76%,2.16%,-1.85%,0.51%,0.22%,0.28%,58.11%,9.35%,-13.10%,3.05%,-3.02%,0.76%,0.37%,0.39%,59.46%,11.29%,-17.04%,3.74%,-3.60%
2010-2024,XLF,-1.0%,570,0.18%,0.05%,0.12%,57.54%,13.16%,-10.81%,1.39%,-1.47%,0.30%,0.16%,0.14%,56.14%,22.71%,-12.92%,2.33%,-2.29%,0.56%,0.26%,0.29%,59.65%,21.23%,-22.99%,2.80%,-2.76%
2010-2024,XLF,-1.5%,347,0.18%,0.05%,0.12%,56.77%,13.16%,-10.81%,1.63%,-1.73%,0.21%,0.16%,0.05%,55.04%,22.71%,-12.92%,2.58%,-2.71%,0.51%,0.26%,0.25%,58.50%,21.23%,-22.99%,3.16%,-3.22%
2010-2024,XLF,-2.0%,210,0.15%,0.05%,0.10%,55.24%,13.16%,-10.81%,1.81%,-1.90%,0.06%,0.16%,-0.10%,53.33%,22.71%,-12.92%,2.87%,-3.15%,0.36%,0.26%,0.10%,55.24%,21.23%,-22.99%,3.56%,-3.59%
2010-2024,XLF,-2.5%,125,0.24%,0.05%,0.19%,56.80%,13.16%,-10.81%,2.18%,-2.30%,0.04%,0.16%,-0.12%,52.00%,22.71%,-12.92%,3.41%,-3.61%,0.27%,0.26%,0.00%,53.60%,21.23%,-22.99%,3.96%,-4.00%
2010-2024,XLF,-3.0%,76,0.32%,0.05%,0.27%,55.26%,13.16%,-10.81%,2.85%,-2.79%,0.23%,0.16%,0.07%,53.95%,22.71%,-12.92%,3.71%,-3.85%,0.33%,0.26%,0.07%,52.63%,21.23%,-22.99%,4.59%,-4.40%
