Period,Ticker,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2010-2024,XLE,-1.0%,774,0.03%,0.04%,-0.01%,51.81%,16.04%,-20.14%,1.47%,-1.51%,0.15%,0.11%,0.04%,53.88%,28.94%,-21.05%,2.64%,-2.75%,0.33%,0.19%,0.14%,54.39%,23.90%,-34.55%,3.38%,-3.30%
2010-2024,XLE,-1.5%,507,0.05%,0.04%,0.01%,51.68%,16.04%,-20.14%,1.61%,-1.61%,0.23%,0.11%,0.12%,55.62%,28.94%,-21.05%,2.83%,-3.02%,0.40%,0.19%,0.21%,54.44%,23.90%,-34.55%,3.75%,-3.59%
2010-2024,XLE,-2.0%,320,-0.00%,0.04%,-0.04%,49.38%,16.04%,-20.14%,1.80%,-1.76%,0.17%,0.11%,0.06%,54.06%,28.94%,-21.05%,3.19%,-3.37%,0.44%,0.19%,0.25%,53.44%,23.90%,-34.55%,4.22%,-3.90%
2010-2024,XLE,-2.5%,197,0.04%,0.04%,-0.00%,52.28%,16.04%,-20.14%,2.03%,-2.15%,0.26%,0.11%,0.15%,56.35%,28.94%,-21.05%,3.50%,-3.92%,0.75%,0.19%,0.56%,57.87%,23.90%,-34.55%,4.77%,-4.78%
2010-2024,XLE,-3.0%,135,0.18%,0.04%,0.14%,57.04%,16.04%,-20.14%,2.25%,-2.58%,0.45%,0.11%,0.34%,60.00%,28.94%,-21.05%,3.82%,-4.60%,0.98%,0.19%,0.79%,62.96%,23.90%,-34.55%,5.15%,-6.10%
2010-2024,XLV,-1.0%,422,0.11%,0.05%,0.06%,53.79%,7.71%,-7.47%,1.07%,-1.01%,0.24%,0.15%,0.08%,56.16%,16.39%,-10.81%,1.74%,-1.69%,0.45%,0.25%,0.20%,63.98%,19.23%,-13.20%,2.01%,-2.33%
2010-2024,XLV,-1.5%,204,0.13%,0.05%,0.08%,54.90%,7.71%,-7.47%,1.24%,-1.22%,0.13%,0.15%,-0.02%,52.45%,16.39%,-10.81%,1.98%,-1.91%,0.44%,0.25%,0.18%,61.76%,19.23%,-13.20%,2.32%,-2.60%
2010-2024,XLV,-2.0%,102,0.35%,0.05%,0.30%,59.80%,7.71%,-7.47%,1.66%,-1.60%,0.39%,0.15%,0.24%,59.80%,16.39%,-10.81%,2.40%,-2.61%,0.79%,0.25%,0.54%,64.71%,19.23%,-13.20%,2.84%,-2.98%
2010-2024,XLV,-2.5%,58,0.28%,0.05%,0.23%,56.90%,7.71%,-7.47%,1.78%,-1.71%,0.70%,0.15%,0.55%,65.52%,16.39%,-10.81%,2.63%,-2.97%,1.37%,0.25%,1.12%,68.97%,19.23%,-11.27%,3.43%,-3.19%
2010-2024,XLV,-3.0%,32,0.54%,0.05%,0.49%,59.38%,7.71%,-7.47%,2.45%,-2.25%,0.58%,0.15%,0.42%,62.50%,16.39%,-10.81%,3.54%,-4.36%,1.43%,0.25%,1.18%,62.50%,19.23%,-11.27%,4.83%,-4.23%
