Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2014,SPY,Broad Index,Core,-1.0,1,139,0.15,0.06,0.09,56.83,4.65,-3.23,0.97,-0.94,0.092
2010-2014,SPY,Broad Index,Core,-1.0,3,139,0.46,0.18,0.27,58.99,7.42,-5.33,1.92,-1.65,0.166
2010-2014,SPY,Broad Index,Core,-1.0,5,139,0.65,0.3,0.35,61.15,8.78,-7.29,2.49,-2.25,0.154
2010-2014,SPY,Broad Index,Core,-1.5,1,73,0.21,0.06,0.15,60.27,4.65,-3.23,0.98,-0.95,0.159
2010-2014,SPY,Broad Index,Core,-1.5,3,73,0.24,0.18,0.06,53.42,7.42,-5.33,2.01,-1.79,0.032
2010-2014,SPY,Broad Index,Core,-1.5,5,73,0.51,0.3,0.2,54.79,8.78,-6.38,2.89,-2.38,0.086
2010-2014,SPY,Broad Index,Core,-2.0,1,38,0.13,0.06,0.07,50.0,4.65,-3.23,1.31,-1.06,0.064
2010-2014,SPY,Broad Index,Core,-2.0,3,38,0.53,0.18,0.35,60.53,7.42,-5.33,2.08,-1.84,0.19
2010-2014,SPY,Broad Index,Core,-2.0,5,38,1.28,0.3,0.97,63.16,8.78,-6.38,3.14,-1.92,0.508
2010-2014,SPY,Broad Index,Core,-2.5,1,20,0.39,0.06,0.33,55.0,4.65,-3.23,1.63,-1.12,0.297
2010-2014,SPY,Broad Index,Core,-2.5,3,20,1.44,0.18,1.26,70.0,7.42,-4.31,2.81,-1.76,0.714
2010-2014,SPY,Broad Index,Core,-2.5,5,20,2.33,0.3,2.03,80.0,8.78,-6.38,3.61,-2.77,0.731
2010-2014,SPY,Broad Index,Core,-3.0,1,11,0.63,0.06,0.57,54.55,4.65,-1.63,2.06,-1.09,0.517
2010-2014,SPY,Broad Index,Core,-3.0,3,11,1.66,0.18,1.47,72.73,7.42,-2.31,2.9,-1.65,0.891
2010-2014,SPY,Broad Index,Core,-3.0,5,11,2.59,0.3,2.29,90.91,7.45,-2.44,3.09,-2.44,0.938
2010-2014,QQQ,Broad Index,Core,-1.0,1,163,0.15,0.07,0.08,53.99,5.2,-3.25,1.15,-1.04,0.073
2010-2014,QQQ,Broad Index,Core,-1.0,3,163,0.29,0.23,0.07,53.99,7.07,-6.24,2.02,-1.76,0.039
2010-2014,QQQ,Broad Index,Core,-1.0,5,163,0.67,0.38,0.29,61.35,9.39,-7.78,2.43,-2.18,0.133
