Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2014,USO,Commodities,Expanded Addition,-2.0,1,125,0.3,-0.04,0.34,56.0,7.9,-3.97,1.63,-1.39,0.243
2010-2014,XLF,Sector,Core,-2.5,3,43,0.84,0.17,0.68,58.14,8.78,-7.96,3.46,-2.79,0.242
2010-2014,SOXX,Semiconductors,Expanded Addition,-3.0,3,36,0.79,0.2,0.59,61.11,8.59,-5.82,2.89,-2.51,0.235
2010-2014,DIA,Broad Index,Core,-1.5,3,58,0.51,0.17,0.34,58.62,7.13,-5.1,1.93,-1.5,0.229
2010-2014,XLY,Sector,Expanded Addition,-2.0,5,44,1.11,0.41,0.7,63.64,11.05,-7.58,3.48,-3.06,0.229
2010-2014,HYG,Bonds,Expanded Addition,-1.0,3,41,0.42,0.09,0.33,60.98,3.15,-3.83,1.63,-1.47,0.227
2010-2014,XLE,Sector,Core,-3.0,1,30,0.39,0.04,0.35,56.67,5.19,-5.64,1.9,-1.58,0.222
2010-2014,IGV,Software,Expanded Addition,-2.0,5,69,1.0,0.32,0.68,62.32,11.06,-7.84,3.53,-3.19,0.212
2010-2014,XLB,Sector,Expanded Addition,-2.0,3,74,0.65,0.14,0.5,59.46,10.76,-6.51,2.74,-2.43,0.207
2010-2014,TLT,Bonds,Expanded Addition,-1.5,1,63,0.23,0.04,0.19,61.9,3.16,-3.39,0.97,-0.97,0.194
2010-2014,SPY,Broad Index,Core,-2.0,3,38,0.53,0.18,0.35,60.53,7.42,-5.33,2.08,-1.84,0.19
2010-2014,XLB,Sector,Expanded Addition,-1.5,5,134,0.77,0.23,0.54,59.7,13.67,-8.41,3.25,-2.9,0.186
2010-2014,XLB,Sector,Expanded Addition,-1.5,1,134,0.24,0.05,0.19,55.22,6.16,-5.61,1.29,-1.05,0.185
2010-2014,XLE,Sector,Core,-2.0,5,72,0.77,0.2,0.57,61.11,12.63,-11.8,3.26,-3.14,0.182
